,이전VDS,이후VDS,holiday,교통량,평균속도
189,99.53,91.35,0,115,98.93
468,104.46,91.38,0,124,99.16
747,108.56,92.75,0,122,103.53
1026,107.0,89.19,0,106,98.31
1305,106.33,89.4,0,121,98.11
1584,102.66,89.26,0,88,99.5
1863,102.44,88.45,0,106,101.64
2142,92.5,86.34,0,87,99.99
2421,96.83,89.03,0,98,100.56
2700,86.66,89.72,0,85,104.99
2979,104.0,84.75,0,71,94.06
3258,103.0,80.57,0,79,100.07
3537,95.0,89.09,0,98,98.79
3816,106.02,89.64,0,103,101.19
4095,101.0,87.55,0,86,92.64
4374,101.16,88.87,0,96,104.84
4653,97.5,88.04,0,106,100.73
4932,94.99,89.53,0,122,93.89
5211,95.08,88.69,0,138,98.86
5490,98.27,89.61,0,156,99.56
5769,94.65,92.94,0,186,100.47
6048,96.61,94.73,0,241,101.07
6327,93.01,104.79,0,307,102.02
6606,88.96,103.9,0,339,103.18
6885,92.93,105.62,0,427,104.37
7164,89.04,107.22,0,529,104.72
7443,87.01,105.11,0,486,103.47
7722,87.32,103.73,0,549,103.2
8001,91.1,101.78,0,678,102.46
8280,88.83,104.01,0,751,103.35
8559,89.83,102.02,0,851,102.26
8838,89.5,102.9,0,884,103.16
9117,91.3,102.66,0,887,102.99
9396,90.79,99.31,0,932,101.14
9675,89.75,102.43,0,800,101.37
9954,90.91,103.35,0,664,101.46
10233,90.39,99.02,0,689,98.64
10512,92.03,99.12,0,657,100.77
10791,92.97,100.09,0,679,99.5
11070,93.39,97.66,0,642,99.18
11349,90.57,100.26,0,625,101.12
11628,91.71,99.89,0,598,101.45
11907,92.63,98.64,0,646,101.4
12186,91.96,97.96,0,571,100.03
12465,90.41,101.5,0,634,102.24
12744,91.16,99.6,0,674,99.02
13023,93.0,102.21,0,643,102.14
13302,90.93,100.52,0,638,101.11
13581,91.5,99.64,0,549,101.37
13860,89.7,101.64,0,581,101.16
14139,90.36,101.56,0,591,102.38
14418,90.66,100.37,0,594,101.19
