,이전VDS,이후VDS,holiday,교통량,평균속도
263,110.95,86.74,0,491,111.14
542,110.99,88.34,0,480,109.8
821,108.55,87.19,0,420,107.78
1100,109.92,88.31,0,330,107.65
1379,105.1,85.27,0,324,106.55
1658,106.31,83.17,0,293,108.54
1937,105.94,85.02,0,329,108.01
2216,104.15,83.38,0,231,105.19
2495,103.0,85.08,0,277,106.61
2774,101.33,82.01,0,254,99.84
3053,103.62,81.83,0,237,105.18
3332,99.9,81.58,0,254,104.88
3611,103.55,83.17,0,255,107.3
3890,99.8,80.69,0,257,104.08
4169,100.79,81.19,0,257,103.17
4448,98.86,79.84,0,234,101.66
4727,99.48,80.64,0,300,101.53
5006,98.53,78.67,0,310,104.23
5285,98.17,80.46,0,361,98.14
5564,100.43,81.55,0,386,102.61
5843,100.57,81.78,0,450,104.32
6122,106.97,82.98,0,541,103.55
6401,109.76,88.46,0,584,104.79
6680,109.58,88.18,0,595,106.56
6959,111.34,88.92,0,608,107.77
7238,111.18,89.29,0,759,108.27
7517,112.64,90.3,0,734,108.66
7796,113.6,91.87,0,839,110.76
8075,112.37,90.52,0,823,109.56
8354,112.12,90.83,0,875,109.52
8633,113.18,91.59,0,941,110.54
8912,112.35,91.04,0,920,109.19
9191,112.43,90.85,0,1000,110.66
9470,110.37,90.07,0,1038,107.67
9749,111.29,90.56,0,1017,109.1
10028,109.32,89.05,0,1027,106.87
10307,109.63,88.48,0,1035,106.75
10586,108.36,88.61,0,1087,106.41
10865,107.1,86.23,0,1131,104.83
11144,105.56,86.76,0,1142,105.14
11423,105.33,85.77,0,1177,103.33
11702,103.7,86.16,0,1099,104.02
11981,104.69,85.41,0,1255,102.98
12260,105.58,86.84,0,1193,105.22
12539,104.23,85.23,0,1235,102.8
12818,106.29,86.37,0,1162,104.67
13097,105.17,85.48,0,1164,102.5
13376,106.1,87.12,0,1119,104.24
13655,107.03,86.97,0,1210,104.59
13934,105.24,85.9,0,1249,102.65
14213,102.23,81.96,0,1378,99.34
14492,103.27,77.67,0,1361,98.98
14771,103.17,81.65,0,1404,98.96
15050,104.43,83.8,0,1356,100.54
15329,102.57,80.06,0,1390,96.67
15608,108.84,86.94,0,1192,104.04
15887,105.91,86.62,0,1102,103.26
16166,103.62,84.88,0,1249,100.99
16445,103.12,84.77,0,1344,101.67
16724,103.01,83.03,0,1329,98.98
17003,102.54,82.11,0,1376,98.76
17282,99.27,76.17,0,1616,90.71
17561,100.81,79.67,0,1440,93.87
17840,99.04,77.96,0,1559,93.52
18119,97.51,74.75,0,1656,91.16
18398,98.48,75.69,0,1643,92.03
18677,98.59,77.16,0,1603,92.79
18956,99.08,78.84,0,1614,95.55
19235,96.43,49.47,0,1673,85.6
19514,94.19,28.96,0,1634,46.41
19793,34.6,22.74,0,1396,24.38
20072,21.39,29.1,0,1556,29.38
20351,28.07,34.79,0,1754,44.28
20630,87.39,45.19,0,1701,54.81
20909,104.02,70.19,0,1579,101.16
21188,104.98,68.36,0,1609,100.86
21467,106.07,23.1,0,1464,72.05
21746,107.12,67.19,0,1316,101.48
22025,103.78,84.25,0,1227,103.13
22304,104.86,84.46,0,1234,103.32
22583,105.57,84.66,0,1246,102.05
22862,104.61,83.74,0,1177,104.74
23141,103.69,83.49,0,1294,101.78
23420,104.91,84.94,0,1223,103.32
23699,104.82,85.22,0,1234,104.38
23978,104.28,83.39,0,1189,102.15
24257,103.64,82.5,0,1250,100.99
24536,104.68,83.9,0,1137,102.8
24815,106.11,85.18,0,1012,105.08
25094,108.4,87.04,0,1037,104.23
25373,107.14,87.27,0,889,106.27
25652,110.82,87.46,0,859,107.92
25931,108.41,85.54,0,825,106.9
26210,108.64,85.67,0,762,105.41
26489,108.11,84.37,0,648,108.04
26768,107.33,85.04,0,606,104.5
27047,113.09,85.62,0,521,107.2
27326,109.71,85.22,0,499,109.09
27605,108.78,85.3,0,450,109.03
27884,110.16,88.21,0,405,109.98
28163,108.77,83.25,0,371,107.04
28442,107.82,82.84,0,344,106.27
28721,105.75,84.87,0,310,106.36
29000,106.13,84.09,0,323,106.14
29279,107.38,81.5,0,276,108.38
29558,103.51,84.42,0,268,103.99
29837,108.48,84.88,0,244,104.48
30116,102.6,82.23,0,266,103.64
30395,103.04,84.29,0,241,109.75
30674,101.32,83.91,0,250,105.68
30953,100.56,78.86,0,301,105.31
31232,101.24,80.57,0,278,107.54
31511,102.23,83.03,0,242,101.66
31790,100.09,82.18,0,258,100.89
32069,98.39,79.35,0,378,98.29
32348,99.02,79.59,0,371,101.5
32627,102.0,80.31,0,439,107.17
32906,103.74,83.13,0,554,105.38
33185,109.58,86.81,0,553,105.7
33464,110.54,88.89,0,578,106.97
33743,110.93,89.25,0,650,107.63
34022,113.56,90.45,0,649,109.29
34301,112.67,90.29,0,747,108.91
34580,112.67,91.03,0,824,111.25
34859,111.14,89.73,0,818,107.85
35138,112.65,90.27,0,910,110.08
35417,110.63,89.52,0,916,108.59
35696,110.42,89.92,0,954,108.46
35975,111.38,89.7,0,984,108.97
36254,110.01,89.82,0,1036,108.51
36533,109.89,89.92,0,1000,107.34
36812,109.28,88.54,0,998,106.77
37091,107.94,87.1,0,1047,105.81
37370,108.23,88.38,0,1108,106.87
37649,108.28,87.76,0,1099,105.65
37928,106.64,87.3,0,1098,105.1
38207,103.6,85.44,0,1190,103.17
38486,105.97,85.6,0,1183,104.53
38765,105.34,85.04,0,1237,101.52
39044,106.19,86.42,0,1195,104.71
39323,103.55,85.08,0,1246,102.24
39602,105.07,85.51,0,1273,103.03
39881,105.24,86.7,0,1225,103.52
40160,105.03,84.25,0,1257,100.85
40439,103.89,84.94,0,1320,101.64
40718,104.95,83.15,0,1274,100.08
40997,105.69,83.72,0,1291,101.16
41276,102.62,82.64,0,1419,98.89
41555,102.35,81.02,0,1396,97.36
41834,99.95,79.79,0,1458,96.57
42113,103.79,84.5,0,1379,101.23
42392,106.36,84.94,0,1396,102.32
42671,105.2,85.39,0,1290,102.36
42950,103.54,83.45,0,1351,100.15
43229,100.53,79.16,0,1530,96.37
43508,101.59,81.04,0,1522,97.78
43787,101.41,79.01,0,1531,96.49
44066,100.27,67.29,0,1552,93.99
44345,101.91,39.26,0,1465,85.91
44624,101.0,25.01,0,1421,63.19
44903,82.51,43.31,0,1563,49.04
45182,100.17,51.63,0,1514,96.47
