,이전VDS,이후VDS,holiday,교통량,평균속도
269,106.34,95.43,0,518,99.28
548,105.65,94.19,0,502,102.19
827,106.86,94.62,0,483,101.32
1106,106.3,94.41,0,379,101.13
1385,103.44,95.79,0,330,100.73
1664,104.25,94.51,0,350,99.19
1943,104.87,90.73,0,352,93.69
2222,103.16,92.34,0,336,93.41
2501,103.58,93.03,0,270,96.35
2780,103.52,92.11,0,264,95.56
3059,102.36,91.74,0,280,94.21
3338,101.81,93.21,0,256,93.46
3617,103.38,91.53,0,306,91.29
3896,103.11,92.15,0,261,94.49
4175,100.42,89.71,0,274,92.0
4454,100.45,90.28,0,248,91.29
4733,100.51,88.65,0,268,91.13
5012,101.97,93.23,0,306,93.16
5291,98.57,91.73,0,366,93.35
5570,99.71,91.06,0,380,90.37
5849,101.93,92.45,0,500,89.96
6128,102.35,93.41,0,583,91.83
6407,101.54,94.29,0,827,92.81
6686,102.33,95.14,0,882,94.89
6965,103.9,95.16,0,1068,92.63
7244,103.66,94.51,0,1132,93.39
7523,103.62,93.01,0,1236,91.22
7802,103.87,90.97,0,1278,91.41
8081,103.24,117.125,0,1399,116.77
8360,103.05,117.125,0,1391,116.77
8639,104.46,113.36,0,1262,116.77
8918,104.29,116.39,0,1208,116.77
9197,103.87,115.93,0,1079,116.77
9476,103.08,118.98,0,1119,116.77
9755,102.28,131.57,0,1231,116.77
10034,101.21,132.21,0,1244,116.77
10313,101.26,121.83,0,1388,116.77
10592,98.71,127.55,0,1314,116.77
10871,99.76,117.19,0,1231,116.77
11150,98.38,120.69,0,1231,116.77
11429,96.49,120.28,0,1208,116.77
11708,98.91,114.14,0,1228,116.77
11987,93.6,118.48,0,1187,116.77
12266,98.29,114.39,0,1213,129.25
12545,95.18,117.68,0,1234,130.43
12824,98.39,118.82,0,1166,116.77
13103,93.2,125.18,0,1054,116.77
13382,95.82,135.18,0,1163,116.77
13661,97.12,117.125,0,1205,116.77
13940,94.92,117.125,0,1405,116.77
14219,92.27,117.125,0,1476,116.77
14498,85.29,117.125,0,1521,116.77
14777,83.74,117.125,0,1491,116.77
15056,80.39,132.97,0,1261,116.77
15335,61.46,117.125,0,851,116.77
15614,29.8,117.125,0,1372,116.77
15893,52.39,117.125,0,1543,116.77
16172,77.76,130.99,0,1287,118.16
16451,92.5,118.15,0,1348,120.1
16730,91.65,120.34,0,1204,112.68
17009,90.35,126.57,0,1163,114.23
17288,77.3,117.125,0,1077,126.04
17567,76.76,125.25,0,1298,116.77
17846,85.15,128.7,0,1490,116.77
18125,77.26,121.19,0,1543,116.77
18404,79.61,132.92,0,1356,112.24
18683,74.9,121.73,0,1343,110.45
18962,78.01,116.48,0,1202,102.61
19241,80.82,115.93,0,1271,96.24
19520,82.57,112.37,0,1357,95.94
19799,70.94,128.1,0,1396,85.02
20078,74.08,104.02,0,1462,95.55
20357,73.75,108.84,0,1414,98.97
20636,64.49,118.19,0,1248,95.41
20915,69.13,120.19,0,1151,91.86
21194,70.73,116.25,0,1183,102.1
21473,72.53,121.45,0,1037,114.69
21752,67.27,121.86,0,1255,113.24
22031,77.11,108.93,0,1220,101.08
22310,94.2,106.91,0,1075,126.28
