,이전VDS,이후VDS,holiday,교통량,평균속도
229,100.62,96.19,0,191,98.28
508,94.91,97.47,0,174,94.83
787,94.35,95.06,0,167,94.78
1066,93.98,95.44,0,131,95.48
1345,93.75,95.39,0,149,90.88
1624,92.84,93.75,0,129,93.75
1903,93.03,94.79,0,131,89.78
2182,88.59,90.37,0,106,87.13
2461,88.69,91.18,0,119,85.44
2740,88.1,88.31,0,121,90.29
3019,88.28,89.0,0,107,88.19
3298,90.89,91.94,0,109,91.81
3577,86.3,91.06,0,116,90.27
3856,87.68,87.72,0,88,86.72
4135,84.31,86.63,0,131,85.81
4414,84.68,85.92,0,129,87.1
4693,85.61,86.5,0,126,87.52
4972,86.0,87.1,0,153,87.55
5251,85.94,85.47,0,157,86.19
5530,84.74,87.87,0,187,88.82
5809,88.36,90.12,0,191,87.68
6088,86.96,90.94,0,255,89.8
6367,87.71,92.77,0,267,93.59
6646,89.19,96.5,0,301,93.4
6925,89.57,95.62,0,375,93.95
7204,91.07,97.08,0,324,96.16
7483,92.28,99.0,0,435,98.04
7762,89.4,96.92,0,440,98.26
8041,90.57,98.48,0,446,98.23
8320,93.0,99.86,0,491,96.8
8599,92.27,100.4,0,536,99.49
8878,93.05,98.92,0,528,100.94
9157,93.59,102.23,0,518,99.82
9436,94.79,103.61,0,537,102.3
9715,95.58,101.99,0,502,101.15
9994,94.09,102.05,0,528,100.71
10273,92.74,102.29,0,536,99.97
10552,93.67,99.41,0,558,99.89
10831,91.08,102.03,0,606,99.5
11110,90.4,99.6,0,606,99.07
11389,91.94,99.92,0,630,99.45
11668,89.94,97.09,0,726,98.1
11947,91.38,97.3,0,695,97.48
12226,90.17,97.85,0,744,96.5
12505,90.0,97.57,0,719,97.11
12784,90.73,97.47,0,756,96.91
13063,91.93,98.58,0,721,98.09
13342,90.9,97.89,0,768,96.27
13621,91.53,98.5,0,710,97.77
13900,89.44,97.55,0,703,95.27
14179,88.31,97.22,0,783,95.1
14458,91.19,97.18,0,714,96.52
14737,90.37,96.73,0,788,96.12
15016,92.09,98.05,0,753,97.62
15295,89.33,97.83,0,846,96.27
15574,90.39,97.03,0,803,97.49
15853,91.37,96.65,0,832,96.97
16132,90.2,97.01,0,798,95.66
16411,90.61,97.81,0,855,97.16
16690,90.52,97.56,0,807,97.14
16969,91.83,98.53,0,858,98.88
17248,91.5,99.08,0,890,96.64
17527,93.4,98.01,0,826,100.49
17806,92.75,97.86,0,864,98.96
18085,92.29,98.04,0,883,96.73
18364,90.27,96.24,0,896,94.52
18643,91.94,96.28,0,904,97.31
18922,92.28,98.87,0,842,99.77
19201,91.24,97.95,0,878,97.74
19480,93.87,98.89,0,858,100.99
19759,93.32,98.8,0,842,102.8
20038,94.91,99.92,0,772,101.48
20317,95.95,98.27,0,731,102.71
20596,95.73,99.68,0,721,100.1
20875,95.12,99.83,0,657,101.37
21154,95.94,101.79,0,593,102.99
21433,94.7,100.1,0,598,102.51
21712,95.89,101.76,0,567,99.93
21991,96.82,100.6,0,555,102.0
22270,96.61,97.87,0,543,97.78
22549,98.11,97.05,0,497,99.08
22828,98.61,97.94,0,509,98.44
23107,97.7,99.73,0,507,99.29
23386,97.2,97.47,0,481,97.5
23665,99.94,99.15,0,471,100.1
23944,97.09,95.82,0,427,99.77
24223,96.17,96.66,0,469,97.48
24502,99.73,99.18,0,419,99.85
24781,99.9,99.86,0,355,98.45
25060,98.43,98.48,0,379,97.53
25339,97.37,97.13,0,414,97.68
25618,96.98,98.03,0,289,95.24
25897,95.82,97.38,0,275,96.89
26176,95.22,98.03,0,271,96.33
26455,98.65,99.89,0,279,97.01
26734,96.32,95.83,0,244,97.61
27013,94.56,96.95,0,211,94.27
27292,93.28,96.46,0,193,96.39
27571,96.25,95.87,0,193,95.5
27850,96.76,96.16,0,182,95.63
28129,92.09,94.9,0,160,93.2
28408,91.98,92.13,0,144,93.9
28687,92.76,94.57,0,123,94.63
28966,90.2,91.94,0,128,91.26
29245,92.68,95.01,0,119,91.78
29524,94.02,90.09,0,91,91.61
29803,88.51,89.73,0,102,91.59
30082,88.07,88.02,0,127,89.98
30361,92.04,90.9,0,108,89.99
30640,88.19,90.79,0,119,89.21
30919,86.74,88.21,0,92,87.64
31198,87.32,87.62,0,121,87.41
31477,86.75,87.01,0,128,89.91
31756,84.84,85.07,0,122,83.98
32035,86.59,89.6,0,162,89.55
32314,88.28,87.35,0,187,87.92
32593,86.6,86.81,0,201,88.56
32872,87.41,87.49,0,240,88.14
33151,85.45,89.52,0,270,89.84
33430,89.64,95.73,0,310,93.95
33709,87.45,95.18,0,347,93.61
33988,89.56,92.81,0,369,94.89
34267,91.48,100.06,0,384,95.77
34546,83.26,94.49,0,483,96.34
34825,86.47,96.89,0,414,100.61
35104,91.58,97.94,0,448,99.14
35383,93.16,100.96,0,463,99.65
35662,94.39,101.09,0,514,100.55
35941,95.8,102.59,0,518,101.49
36220,93.69,100.94,0,520,101.59
36499,94.36,102.54,0,508,101.2
36778,94.57,101.87,0,484,101.31
37057,93.27,100.78,0,602,101.77
37336,91.91,100.52,0,557,100.23
37615,91.53,99.24,0,603,98.91
37894,92.52,100.74,0,599,100.23
38173,93.06,99.31,0,653,100.27
38452,90.56,97.39,0,645,98.99
38731,90.41,97.97,0,655,97.59
39010,92.22,96.5,0,699,99.75
39289,91.61,98.87,0,691,100.15
39568,91.23,98.46,0,773,98.25
39847,89.76,98.29,0,840,95.83
40126,90.44,97.76,0,777,94.93
40405,88.74,96.62,0,780,96.41
40684,91.14,99.55,0,750,96.57
40963,91.34,97.44,0,857,96.14
41242,88.63,95.82,0,853,93.89
41521,90.18,98.71,0,836,96.78
41800,90.46,95.84,0,902,94.45
42079,87.94,94.17,0,988,93.21
42358,86.16,92.33,0,1055,90.0
42637,88.03,95.64,0,998,92.74
42916,87.38,94.58,0,962,90.96
43195,90.0,96.25,0,973,93.12
43474,95.87,91.27,0,1028,125.23
43753,94.62,90.56,0,1030,100.99
44032,92.53,91.96,0,1068,86.4
44311,100.15,95.65,0,1064,136.85
44590,95.08,93.3,0,1071,136.95
44869,89.9,91.24,0,1123,126.945
45148,100.96,94.98,0,1038,118.06
45427,99.12,94.64,0,1046,126.92
45706,98.86,92.39,0,1036,135.98
45985,96.22,94.46,0,1090,126.945
46264,104.1,97.06,0,992,115.37
46543,101.97,97.25,0,1046,127.66
46822,102.99,95.17,0,978,128.75
47101,102.77,97.41,0,946,122.95
47380,103.66,97.87,0,1002,120.38
47659,101.67,95.54,0,1011,125.0
47938,102.87,97.83,0,906,121.57
48217,104.94,97.85,0,877,110.32
48496,104.05,97.33,0,847,116.87
48775,98.05,90.91,0,917,134.75
49054,105.29,90.77,0,792,120.36
49333,107.11,92.75,0,758,115.07
49612,110.69,94.2,0,779,114.7
49891,107.21,92.69,0,779,121.19
50170,109.27,94.97,0,699,101.1
50449,109.05,95.08,0,643,99.65
50728,110.57,93.31,0,632,88.69
51007,110.55,96.54,0,623,101.88
51286,112.22,97.63,0,557,84.33
51565,111.9,98.18,0,508,94.25
51844,113.16,97.87,0,510,98.73
52123,112.12,102.7,0,437,74.51
52402,115.54,102.02,0,414,96.98
52681,116.3,101.24,0,313,113.16
52960,119.34,103.65,0,324,109.74
53239,121.58,104.32,0,291,111.93
53518,117.15,104.97,0,246,115.69
53797,118.28,105.43,1,230,110.88
54076,117.1,105.18,1,227,121.25
54355,119.18,102.08,1,195,112.4
54634,112.34,100.06,1,193,119.06
54913,114.32,98.72,1,175,116.77
55192,118.37,104.8,1,134,111.4
55471,113.95,101.73,1,112,116.07
55750,110.78,99.57,1,133,119.62
56029,112.86,100.53,1,122,119.73
56308,112.12,97.9,1,115,122.08
56587,110.58,96.81,1,113,120.4
56866,111.99,94.45,1,96,119.53
57145,112.15,97.65,1,88,120.01
57424,107.59,94.95,1,95,126.01
57703,108.27,95.72,1,87,120.8
57982,113.41,99.19,1,81,112.4
58261,108.6,92.31,1,75,124.24
58540,109.21,97.83,1,85,130.54
58819,102.88,93.08,1,103,134.47
59098,106.97,95.12,1,102,115.57
59377,108.34,94.33,1,106,122.03
59656,108.63,92.56,1,127,128.69
59935,108.01,97.05,1,136,122.28
60214,107.49,103.86,1,156,128.59
60493,107.09,98.2,1,146,118.88
60772,113.13,108.99,1,169,117.76
61051,112.43,104.52,1,226,115.4
61330,109.4,103.8,1,226,110.37
61609,104.515,98.725,1,258,126.945
61888,104.515,98.725,1,268,126.945
62167,104.515,98.725,1,297,126.945
62446,104.515,98.725,1,332,126.945
62725,104.515,98.725,1,297,126.945
63004,104.515,98.725,1,327,126.945
63283,104.515,98.725,1,309,126.945
63562,104.515,98.725,1,393,126.945
63841,104.515,98.725,1,444,126.945
64120,104.515,98.725,1,479,126.945
64399,104.515,98.725,1,493,126.945
64678,104.515,98.725,1,610,126.945
64957,104.515,98.725,1,646,126.945
65236,104.515,98.725,1,620,126.945
65515,104.515,98.725,1,707,126.945
65794,104.515,98.725,1,736,126.945
66073,104.515,98.725,1,762,126.945
66352,104.515,98.725,1,659,126.945
66631,104.515,98.725,1,806,126.945
66910,104.515,98.725,1,702,126.945
67189,104.515,98.725,1,729,126.945
67468,104.515,98.725,1,667,126.945
67747,104.515,98.725,1,731,126.945
68026,104.515,98.725,1,409,126.945
68305,104.515,98.725,1,347,126.945
68584,104.515,98.725,1,430,126.945
68863,104.515,98.725,1,678,126.945
69142,104.515,98.725,1,633,126.945
69421,104.515,98.725,1,548,126.945
69700,104.515,98.725,1,578,126.945
69979,104.515,98.725,1,704,126.945
70258,104.515,98.725,1,748,126.945
70537,104.515,98.725,1,776,126.945
70816,104.515,98.725,1,753,126.945
71095,104.515,98.725,1,702,126.945
71374,104.515,98.725,1,674,126.945
71653,104.515,98.725,1,669,126.945
71932,104.515,98.725,1,693,126.945
72211,104.515,98.725,1,696,126.945
72490,104.515,98.725,1,677,126.945
72769,104.515,98.725,1,684,126.945
73048,104.515,98.725,1,709,126.945
73327,104.515,98.725,1,704,126.945
73606,104.515,98.725,1,639,126.945
73885,104.515,98.725,1,643,126.945
74164,104.515,98.725,1,609,126.945
74443,104.515,98.725,1,662,126.945
74722,104.515,98.725,1,614,126.945
75001,104.515,98.725,1,432,126.945
75280,104.515,98.725,1,366,126.945
75559,104.515,98.725,1,550,126.945
75838,104.515,98.725,1,514,126.945
76117,104.515,98.725,1,596,126.945
76396,104.515,98.725,1,541,126.945
76675,104.515,98.725,1,549,126.945
76954,104.515,98.725,1,580,126.945
77233,118.79,104.19,1,529,129.29
77512,118.23,102.67,1,487,119.85
77791,117.59,103.62,1,533,127.59
78070,119.18,104.86,1,492,122.09
78349,119.45,102.94,1,483,122.33
78628,121.62,105.76,1,442,114.78
78907,122.47,108.69,1,343,115.48
79186,122.77,107.11,1,349,122.23
