,이전VDS,이후VDS,holiday,교통량,평균속도
160,88.93,90.07,0,121,92.26
439,88.22,93.53,0,115,96.32
718,84.23,90.0,0,97,90.79
997,91.49,91.04,0,98,94.18
1276,91.5,90.76,0,91,91.83
1555,88.61,92.66,0,88,95.16
1834,90.27,94.53,0,97,94.75
2113,94.09,91.55,0,55,95.15
2392,91.79,88.93,0,58,90.17
2671,89.65,91.51,0,75,91.59
2950,92.89,91.56,0,75,92.12
3229,90.43,90.23,0,78,90.78
3508,84.99,83.22,0,57,88.24
3787,87.13,84.38,0,69,90.62
4066,84.47,85.23,0,61,88.23
4345,90.68,92.28,0,79,91.16
4624,89.49,89.9,0,84,91.32
4903,96.51,93.67,0,83,94.55
5182,92.65,90.71,0,92,91.41
5461,91.51,91.19,0,118,93.73
5740,86.05,88.62,0,125,92.1
6019,97.74,94.33,0,116,96.32
6298,91.35,92.35,0,169,93.17
6577,90.46,93.34,0,156,94.23
6856,100.24,96.24,0,156,97.98
7135,94.9,96.67,0,155,97.83
7414,92.8,99.0,0,164,103.01
7693,95.8,99.32,0,165,102.52
7972,99.49,101.17,0,197,104.98
8251,100.57,101.74,0,169,104.3
8530,102.34,101.55,0,183,104.26
8809,107.86,105.99,0,166,109.64
9088,109.01,105.63,0,171,106.4
9367,108.91,109.3,0,168,107.37
9646,107.17,105.55,0,176,108.88
9925,108.75,107.13,0,203,109.69
10204,107.97,105.23,0,193,106.9
10483,113.14,109.57,0,194,108.19
10762,109.11,105.26,0,248,108.05
11041,110.04,106.87,0,246,106.11
11320,108.31,106.65,0,280,109.89
11599,106.97,104.5,0,265,106.55
11878,108.98,105.74,0,311,107.62
12157,104.83,103.63,0,340,105.99
12436,108.75,106.16,0,278,107.51
12715,110.03,106.5,0,312,105.68
12994,105.31,102.29,0,287,104.33
13273,105.73,104.02,0,267,105.53
13552,102.67,102.91,0,307,105.45
13831,106.17,104.54,0,273,104.87
14110,106.66,103.88,0,286,106.71
14389,106.71,104.77,0,277,107.76
14668,103.95,103.25,0,270,106.54
14947,108.6,104.91,0,250,107.6
15226,105.83,103.84,0,275,105.12
15505,104.95,102.77,0,269,104.97
15784,109.41,106.59,0,277,107.35
16063,109.1,106.66,0,285,109.21
16342,107.72,107.48,0,248,109.88
16621,107.63,105.32,0,298,105.95
16900,107.52,106.74,0,286,109.48
17179,106.82,106.1,0,278,108.08
17458,109.33,107.11,0,246,107.93
17737,108.13,106.52,0,266,109.15
18016,106.04,106.84,0,262,108.89
18295,105.99,105.2,0,275,107.43
18574,104.45,105.2,0,299,104.81
18853,107.43,105.07,0,283,105.98
19132,107.86,105.63,0,292,106.09
19411,106.93,105.02,0,307,107.39
19690,106.01,103.72,0,321,106.58
19969,104.78,106.05,0,287,106.88
20248,108.26,106.14,0,275,105.79
20527,107.99,106.62,0,280,107.07
20806,105.2,106.01,0,280,105.8
21085,108.1,108.17,0,261,106.61
21364,104.55,105.91,0,244,106.16
21643,105.85,104.58,0,275,104.91
21922,103.5,103.12,0,224,105.23
22201,101.59,102.16,0,239,101.28
22480,97.02,100.39,0,252,101.47
22759,102.38,101.31,0,241,102.42
23038,100.19,101.02,0,220,101.56
23317,102.79,102.38,0,224,101.96
23596,100.51,97.3,0,227,101.82
23875,97.06,98.28,0,202,98.25
24154,94.41,96.63,0,189,99.35
24433,98.46,97.0,0,178,99.51
24712,94.7,97.5,0,205,98.31
24991,99.27,98.22,0,161,97.6
25270,99.23,97.8,0,183,97.81
25549,97.45,96.87,0,170,101.54
25828,96.12,97.05,0,150,95.95
26107,94.78,96.17,0,156,96.54
26386,94.49,94.04,0,137,95.75
26665,93.78,94.69,0,119,93.4
26944,98.59,95.54,0,103,97.57
27223,90.5,94.62,0,120,99.7
27502,88.57,92.4,0,93,94.4
27781,90.78,90.49,0,75,92.78
28060,88.66,92.89,0,84,98.18
28339,93.48,93.98,0,87,92.4
28618,88.25,89.33,0,72,94.34
28897,87.13,89.16,0,69,92.64
29176,90.71,89.97,0,66,96.56
29455,98.33,99.97,0,65,94.88
29734,81.26,87.28,0,80,90.95
30013,86.78,89.85,0,50,88.44
30292,87.75,85.46,0,46,86.58
30571,90.32,93.04,0,74,93.3
30850,87.47,88.74,0,64,90.9
31129,91.08,92.25,0,69,94.47
31408,91.29,89.73,0,99,90.32
31687,95.05,94.01,0,90,93.21
31966,90.9,94.64,0,93,93.12
32245,89.52,91.53,0,110,93.73
32524,87.94,91.53,0,112,94.33
32803,85.74,90.24,0,132,90.46
33082,88.59,93.78,0,145,93.54
33361,93.74,94.65,0,156,93.79
33640,95.48,97.99,0,136,96.86
33919,99.23,100.79,0,156,99.02
34198,95.06,98.02,0,184,100.62
34477,98.57,101.18,0,187,102.81
34756,95.0,98.03,0,177,103.25
35035,100.85,100.44,0,147,102.07
35314,104.91,105.05,0,171,105.78
35593,106.54,104.07,0,169,107.27
35872,104.09,108.42,0,162,105.99
36151,110.82,107.58,0,211,108.33
36430,107.65,105.74,0,209,104.36
36709,104.36,106.24,0,223,106.46
36988,96.02,104.1,0,234,104.75
37267,91.24,103.68,0,260,104.8
37546,94.87,102.24,0,265,106.63
37825,90.18,101.79,0,242,99.61
38104,92.32,101.37,0,292,101.38
38383,93.6,102.75,0,284,103.98
38662,91.83,102.66,0,289,103.19
38941,87.72,99.1,0,308,101.11
39220,85.36,100.24,0,325,101.88
39499,89.33,102.58,0,314,102.22
39778,88.03,100.22,0,329,102.83
40057,89.91,101.84,0,347,103.4
40336,86.89,100.6,0,337,100.05
40615,83.16,97.15,0,328,101.35
40894,86.13,99.82,0,361,99.49
41173,85.8,98.68,0,367,99.69
41452,83.73,100.93,0,378,102.44
41731,87.25,103.06,0,344,104.58
42010,91.6,103.62,0,307,103.52
42289,89.6,101.51,0,351,102.26
42568,92.39,103.78,0,355,105.24
42847,108.47,106.68,0,334,106.96
43126,108.48,108.01,0,336,108.99
43405,107.99,108.12,0,358,108.99
43684,109.48,109.9,0,368,110.0
43963,111.4,110.61,0,370,111.0
44242,108.24,107.18,0,362,108.06
44521,111.3,109.98,0,414,110.67
44800,110.63,110.88,0,373,109.81
45079,109.73,108.53,0,392,110.05
45358,109.85,108.76,0,427,110.27
45637,113.17,111.69,0,386,110.39
45916,108.17,107.81,0,384,109.81
46195,112.4,112.19,0,400,112.58
46474,112.6,111.36,0,369,112.34
46753,110.0,110.37,0,357,110.42
47032,110.44,109.04,0,357,109.45
47311,111.09,109.92,0,389,110.26
47590,108.9,109.37,0,404,109.99
47869,113.69,113.32,0,376,112.65
48148,114.73,113.54,0,331,113.16
48427,112.33,110.73,0,367,110.3
48706,107.64,105.61,0,326,107.02
48985,106.19,104.8,0,352,106.78
49264,108.44,107.98,0,299,108.22
49543,108.87,105.66,0,283,106.86
49822,106.59,105.0,0,300,107.86
50101,110.28,106.92,0,285,107.52
50380,109.4,107.81,0,249,108.18
50659,110.02,105.94,0,263,107.72
50938,102.63,102.82,0,236,105.2
51217,108.89,104.48,0,213,105.98
51496,111.49,106.43,0,204,106.02
51775,108.45,105.56,0,179,108.51
52054,103.89,102.03,0,160,103.45
52333,104.67,101.79,0,166,101.22
52612,106.74,104.86,0,134,105.74
52891,105.64,104.94,0,114,104.33
53170,107.45,103.57,0,115,102.43
53449,107.55,101.9,0,115,102.2
53728,103.78,103.04,1,76,103.02
54007,104.08,101.11,1,86,101.5
54286,107.1,101.32,1,97,101.37
54565,106.5,101.74,1,82,101.58
54844,104.41,99.48,1,84,104.27
55123,103.01,97.73,1,73,98.47
55402,110.89,102.08,1,45,100.05
55681,102.98,101.81,1,54,101.54
55960,102.93,97.77,1,60,97.59
56239,95.28,93.71,1,52,95.36
56518,93.59,94.06,1,38,97.6
56797,104.58,102.28,1,39,100.64
57076,103.26,98.04,1,55,97.46
57355,101.47,98.24,1,45,100.79
57634,97.31,96.61,1,45,98.15
57913,98.44,96.27,1,38,99.01
58192,97.92,96.4,1,70,101.75
58471,97.86,93.85,1,51,93.18
58750,97.33,92.7,1,60,97.22
59029,104.24,96.71,1,61,100.64
59308,95.66,95.15,1,50,95.2
59587,99.28,98.86,1,80,99.53
59866,99.01,99.32,1,78,104.61
60145,94.25,96.7,1,84,99.91
60424,98.23,99.4,1,104,101.82
60703,100.46,100.41,1,118,104.64
60982,105.96,106.67,1,131,108.9
61261,100.94,101.37,1,135,105.0
61540,109.9,107.04,1,123,105.69
61819,109.72,107.86,1,137,107.25
62098,108.72,106.16,1,141,106.64
62377,112.13,107.91,1,183,111.15
62656,113.98,111.39,1,156,110.92
62935,107.77,108.42,1,208,109.72
63214,109.65,107.92,1,209,109.06
63493,110.46,109.97,1,262,111.27
63772,110.94,110.88,1,261,111.84
64051,111.53,110.25,1,274,111.01
64330,111.34,110.53,1,286,110.79
64609,114.11,111.93,1,325,113.0
64888,115.87,114.15,1,353,113.18
65167,112.49,109.93,1,368,112.02
65446,111.35,110.24,1,375,111.95
65725,112.81,111.79,1,421,113.15
66004,113.12,111.78,1,415,112.48
66283,113.92,112.13,1,441,112.22
66562,112.52,110.68,1,426,114.47
66841,111.04,109.95,1,417,112.64
67120,108.47,110.31,1,378,114.46
67399,109.33,109.82,1,430,114.74
67678,113.98,112.15,1,369,115.01
67957,111.79,110.12,1,367,111.8
68236,111.04,110.91,1,367,112.67
68515,114.28,112.42,1,371,114.26
68794,115.08,113.53,1,410,113.73
69073,115.82,114.03,1,410,114.04
69352,112.26,111.36,1,368,113.05
69631,115.43,113.75,1,387,114.48
69910,114.76,114.01,1,380,115.76
70189,113.58,112.34,1,389,113.88
70468,113.19,111.92,1,405,111.06
70747,112.51,111.09,1,419,112.22
71026,114.28,113.23,1,378,113.91
71305,114.44,112.76,1,363,115.17
71584,112.39,112.89,1,375,112.96
71863,114.01,112.69,1,358,114.26
72142,114.09,113.65,1,334,114.33
72421,113.99,113.29,1,356,116.8
72700,114.87,113.49,1,365,114.72
72979,113.65,112.37,1,427,112.48
73258,113.82,113.22,1,394,113.73
73537,115.24,114.34,1,306,116.12
73816,115.04,112.92,1,315,113.58
74095,115.52,114.11,1,269,114.53
74374,115.03,112.95,1,273,113.29
74653,114.22,112.56,1,257,113.16
74932,116.83,113.79,1,238,115.82
75211,116.88,115.65,1,241,115.38
75490,111.52,110.0,1,218,110.3
75769,111.91,108.77,1,219,110.57
76048,111.05,107.52,1,209,109.34
76327,115.35,110.74,1,207,111.66
76606,113.25,111.19,1,215,110.67
76885,113.99,110.12,1,213,111.47
77164,116.69,112.34,1,205,113.11
77443,114.31,110.71,1,172,112.63
77722,111.19,109.6,1,175,110.69
78001,112.07,110.36,1,157,112.23
78280,114.41,109.93,1,161,111.11
78559,116.16,111.36,1,145,113.28
78838,114.8,109.92,1,164,110.32
79117,111.26,109.25,1,136,110.77
79396,113.7,111.04,1,137,111.07
79675,112.64,108.14,1,112,111.45
