,이전VDS,이후VDS,holiday,교통량,평균속도
62,95.76,101.76,0,75,93.95
341,95.1,106.09,0,69,98.05
620,93.19,100.88,0,65,94.73
899,95.27,104.58,0,66,95.04
1178,91.61,101.46,0,61,96.03
1457,88.43,90.47,0,55,86.05
1736,88.61,100.54,0,56,88.85
2015,90.96,98.49,0,64,90.89
2294,86.92,94.31,0,35,87.11
2573,89.29,95.54,0,48,89.64
2852,84.91,86.95,0,45,83.35
3131,89.35,98.41,0,43,92.24
3410,85.48,92.91,0,40,87.87
3689,89.18,93.99,0,53,88.67
3968,91.05,91.51,0,51,85.33
4247,89.18,93.18,0,53,87.53
4526,89.84,95.07,0,57,88.06
4805,90.82,97.92,0,62,89.5
5084,88.11,92.5,0,67,85.96
5363,88.7,91.83,0,71,86.54
5642,93.59,102.11,0,79,92.99
5921,92.05,99.91,0,93,93.82
6200,95.48,104.85,0,80,98.98
6479,92.3,97.74,0,105,95.44
6758,101.83,110.74,0,158,102.49
7037,95.0,106.27,0,151,100.32
7316,96.31,108.31,0,129,98.97
7595,98.77,113.88,0,165,103.81
7874,96.28,109.59,0,216,100.26
8153,97.79,109.91,0,230,100.18
8432,98.75,109.6,0,259,101.38
8711,100.04,108.27,0,238,100.77
8990,96.7,110.15,0,297,100.61
9269,96.31,110.36,0,302,99.25
9548,96.27,106.57,0,326,98.4
9827,98.29,106.99,0,346,98.08
10106,95.7,104.58,0,376,96.22
10385,97.29,106.48,0,356,89.82
10664,97.7,107.09,0,410,87.97
10943,96.19,105.5,0,429,88.61
11222,95.03,103.85,0,440,92.8
11501,96.24,103.99,0,518,94.84
11780,95.56,104.49,0,451,96.83
12059,94.51,104.86,0,501,90.98
12338,94.61,104.69,0,430,89.95
12617,95.39,104.6,0,471,95.18
12896,96.08,106.29,0,462,97.37
13175,96.38,107.59,0,410,99.29
13454,96.31,106.22,0,415,91.59
13733,95.42,106.02,0,445,93.33
14012,95.47,105.2,0,560,96.31
14291,94.37,102.86,0,627,94.06
14570,96.4,108.16,0,497,97.73
14849,96.42,108.8,0,526,98.33
15128,96.58,108.46,0,491,98.59
15407,97.14,108.99,0,492,99.4
15686,96.4,106.65,0,497,97.25
15965,95.83,104.97,0,518,96.69
16244,96.17,107.45,0,543,96.14
16523,95.9,106.94,0,526,96.52
16802,97.43,108.8,0,512,99.01
17081,95.73,106.42,0,576,95.18
17360,96.19,106.12,0,547,95.61
17639,97.33,105.7,0,603,96.29
17918,96.6,106.6,0,585,96.0
18197,96.02,106.58,0,606,95.46
18476,96.57,105.79,0,635,93.63
18755,96.91,107.14,0,551,97.02
19034,96.5,105.71,0,568,95.74
19313,95.96,105.42,0,607,94.77
19592,97.03,107.92,0,553,97.03
19871,96.29,106.68,0,536,95.28
20150,96.75,108.39,0,455,98.05
20429,95.35,105.76,0,494,96.34
20708,95.28,104.94,0,528,94.27
20987,96.6,107.7,0,374,93.61
21266,95.38,106.35,0,404,91.09
21545,95.0,108.45,0,357,97.76
21824,95.61,103.93,0,346,93.97
22103,92.9,101.25,0,337,93.52
22382,96.58,102.82,0,324,94.46
22661,94.23,101.86,0,297,92.77
22940,93.62,101.4,0,298,91.4
23219,92.9,100.63,0,279,91.86
23498,93.58,102.51,0,263,91.94
23777,91.23,100.24,0,293,89.6
24056,91.87,101.76,0,279,90.14
24335,91.45,99.99,0,249,92.85
24614,93.3,105.1,0,217,95.42
24893,96.91,107.55,0,184,96.11
25172,92.12,101.04,0,144,91.51
25451,92.6,101.62,0,159,94.0
25730,91.41,97.87,0,135,89.84
26009,92.37,105.05,0,127,91.18
26288,92.16,106.19,0,112,96.79
26567,92.21,102.0,0,101,95.69
26846,93.36,104.73,0,84,97.04
27125,90.89,95.0,0,71,88.28
27404,93.88,102.52,0,78,94.74
27683,90.94,107.54,0,65,96.39
27962,90.68,100.3,0,56,94.36
28241,89.95,98.8,0,50,90.44
28520,87.9,94.15,0,49,90.63
28799,89.22,97.38,0,61,91.1
29078,90.43,98.44,0,39,88.36
29357,87.78,93.83,0,55,88.31
29636,87.97,98.6,0,73,94.35
29915,89.89,94.46,0,54,87.1
30194,88.53,95.3,0,44,85.86
30473,88.47,90.88,0,65,81.98
30752,89.54,94.99,0,54,89.14
31031,88.33,95.72,0,63,91.32
31310,86.49,90.18,0,71,84.55
31589,89.28,95.49,0,73,87.08
31868,87.23,95.25,0,65,86.32
32147,89.01,94.85,0,74,89.0
32426,85.49,91.93,0,71,86.12
32705,91.77,100.89,0,78,96.09
32984,93.92,105.6,0,109,96.82
33263,96.01,103.43,0,120,95.54
33542,95.85,108.54,0,139,100.34
33821,96.39,108.63,0,153,98.92
34100,96.53,108.27,0,159,98.9
34379,95.89,108.34,0,164,99.62
34658,97.39,108.3,0,231,97.86
34937,95.01,105.54,0,202,98.86
35216,97.06,109.41,0,216,100.17
35495,95.03,105.24,0,257,97.03
35774,99.13,107.58,0,278,99.53
36053,98.48,108.2,0,273,98.24
36332,98.37,108.28,0,303,97.97
36611,98.3,108.28,0,312,100.12
36890,96.97,105.86,0,360,98.28
37169,96.01,105.0,0,399,97.21
37448,97.4,106.08,0,446,98.56
37727,96.93,106.71,0,462,97.88
38006,94.06,103.93,0,468,92.52
38285,95.31,104.77,0,483,89.04
38564,94.66,102.03,0,547,93.69
38843,94.14,102.47,0,548,90.67
39122,94.4,104.34,0,520,87.17
39401,95.72,104.6,0,457,86.68
39680,94.74,106.13,0,482,86.37
39959,94.91,104.12,0,546,88.38
40238,94.37,106.01,0,630,94.58
40517,96.53,107.12,0,586,96.44
40796,95.31,104.47,0,616,95.07
41075,96.27,108.26,0,619,97.37
41354,94.97,106.29,0,626,94.59
41633,96.72,107.57,0,608,97.5
41912,94.6,107.76,0,639,97.01
42191,94.1,108.23,0,652,96.89
42470,96.29,108.29,0,661,96.93
42749,96.0,109.3,0,645,97.08
43028,95.03,106.62,0,645,97.09
