,이전VDS,이후VDS,holiday,교통량,평균속도
5,99.47,104.31,0,107,104.07
284,101.11,105.2,0,89,102.39
563,97.2,100.68,0,76,102.32
842,97.07,100.86,0,69,101.96
1121,90.76,97.85,0,65,97.36
1400,97.23,97.98,0,47,99.41
1679,93.79,99.26,0,68,100.67
1958,95.53,96.8,0,57,101.04
2237,97.05,99.73,0,53,99.06
2516,101.02,101.6,0,32,104.21
2795,95.65,95.94,0,53,99.9
3074,94.04,107.15,0,32,102.78
3353,88.66,93.34,0,45,96.22
3632,97.41,96.24,0,51,100.57
3911,86.61,93.56,0,55,97.68
4190,91.79,92.71,0,56,97.29
4469,94.1,96.18,0,59,100.85
4748,93.04,99.69,0,60,100.9
5027,92.19,95.52,0,82,97.64
5306,92.93,98.12,0,147,99.26
5585,99.99,100.91,0,152,101.68
5864,98.37,102.44,0,211,102.35
6143,102.48,105.56,0,229,104.85
6422,102.81,106.27,0,300,104.68
6701,103.39,107.14,0,353,104.96
6980,103.36,105.28,0,507,102.31
7259,99.78,102.54,0,638,100.86
7538,98.43,102.23,0,686,100.26
7817,96.0,100.0,0,799,97.5
8096,93.51,97.19,0,900,96.09
8375,95.07,99.54,0,911,96.64
8654,94.97,100.14,0,873,96.99
8933,94.17,96.09,0,915,94.68
9212,96.19,98.47,0,789,96.48
9491,94.86,98.23,0,824,95.56
9770,98.49,99.77,0,678,99.3
10049,95.74,96.03,0,657,97.29
10328,93.64,94.9,0,641,96.19
10607,93.87,94.66,0,649,94.09
10886,93.86,94.44,0,671,96.1
11165,92.34,92.92,0,658,94.71
11444,91.9,93.81,0,681,93.71
11723,93.6,95.27,0,680,94.33
12002,93.32,92.94,0,623,94.19
12281,91.32,94.35,0,692,94.03
12560,90.99,93.55,0,732,94.41
12839,90.28,92.59,0,706,94.17
13118,90.52,94.07,0,762,93.73
13397,91.59,92.51,0,658,94.76
13676,92.79,96.54,0,539,97.2
13955,92.56,95.36,0,554,95.89
14234,93.42,96.63,0,535,97.31
14513,95.07,98.21,0,507,99.7
14792,96.23,98.47,0,523,98.14
15071,95.03,95.78,0,564,96.42
15350,93.53,95.38,0,570,96.51
15629,94.37,97.12,0,526,96.16
15908,95.55,97.43,0,543,97.34
16187,93.28,96.63,0,515,96.89
16466,94.04,96.32,0,457,97.05
16745,95.9,96.09,0,447,93.55
17024,94.98,95.57,0,497,96.4
17303,95.24,96.87,0,556,96.77
17582,95.88,97.44,0,516,98.0
17861,94.76,97.59,0,532,97.75
18140,94.95,97.98,0,522,98.51
18419,94.48,98.12,0,566,97.95
18698,95.59,99.29,0,543,98.89
18977,95.15,100.12,0,490,99.89
19256,97.02,101.86,0,522,101.1
19535,97.39,101.55,0,530,100.98
19814,96.6,103.02,0,536,100.57
20093,96.96,101.28,0,498,100.36
20372,96.38,101.04,0,528,100.97
20651,96.24,100.76,0,497,99.92
20930,95.49,101.22,0,474,100.15
21209,96.99,102.15,0,456,102.06
21488,97.38,102.04,0,381,101.31
21767,97.12,101.15,0,327,99.99
22046,92.58,94.87,0,326,96.73
22325,90.88,96.3,0,315,97.41
22604,94.25,98.77,0,288,100.27
22883,93.9,99.32,0,311,99.66
23162,95.12,100.03,0,301,100.65
23441,93.49,97.76,0,269,100.09
23720,94.69,98.71,0,261,101.35
23999,94.92,96.97,0,280,99.81
24278,95.48,99.05,0,254,100.46
24557,96.01,100.29,0,213,100.58
24836,95.51,99.75,0,249,102.94
25115,96.74,101.86,0,215,102.72
25394,95.81,97.87,0,166,101.51
25673,95.75,101.86,0,155,103.28
25952,98.76,101.33,0,161,103.19
26231,97.48,101.46,0,137,103.9
26510,97.3,105.2,0,120,105.42
26789,98.15,100.6,0,88,102.93
27068,94.88,101.43,0,97,103.54
27347,99.53,103.27,0,96,105.48
27626,96.73,97.65,0,71,101.63
27905,96.45,102.4,0,70,100.34
28184,93.93,99.98,0,81,103.11
28463,89.59,104.44,0,61,100.32
28742,91.31,99.56,0,49,101.97
29021,90.74,98.79,0,48,98.37
29300,94.92,96.54,0,36,100.37
29579,85.2,97.56,0,47,102.47
29858,97.16,105.79,0,42,104.02
30137,88.27,93.07,0,52,99.3
30416,84.05,93.15,0,55,97.0
30695,90.09,94.94,0,67,99.37
30974,89.25,97.07,0,58,100.75
31253,85.12,95.37,0,49,98.4
31532,91.95,99.84,0,77,101.46
31811,86.1,96.06,0,86,96.97
32090,93.74,97.13,0,144,100.27
32369,99.41,99.34,0,150,103.37
32648,96.57,98.3,0,200,101.31
32927,99.02,103.97,0,271,104.22
33206,101.38,105.54,0,331,106.13
33485,99.87,105.96,0,369,104.33
33764,97.15,101.67,0,530,101.95
34043,97.39,101.7,0,653,101.02
34322,94.3,99.93,0,687,98.64
34601,93.0,97.93,0,801,97.47
34880,91.68,97.21,0,897,95.91
35159,93.45,97.22,0,860,96.62
35438,91.28,98.74,0,801,96.56
35717,91.34,97.45,0,891,96.08
35996,91.53,95.19,0,788,95.35
36275,92.26,96.71,0,734,96.51
36554,93.97,99.06,0,625,98.77
36833,91.25,96.94,0,636,97.18
37112,90.23,95.69,0,654,95.44
37391,90.26,94.9,0,668,94.52
37670,89.12,96.0,0,683,94.99
37949,91.1,94.21,0,677,95.35
38228,90.87,94.2,0,660,95.33
38507,91.51,93.89,0,685,95.31
38786,89.28,92.89,0,743,94.26
39065,90.53,94.84,0,692,95.82
39344,89.19,93.42,0,715,94.05
39623,92.36,94.81,0,711,94.78
39902,90.75,95.12,0,676,96.55
40181,90.11,94.58,0,683,95.89
40460,92.36,96.73,0,613,98.17
40739,91.38,94.49,0,628,96.04
41018,92.06,94.83,0,627,95.69
41297,91.16,96.67,0,626,97.5
41576,93.36,98.22,0,610,97.44
41855,92.27,95.22,0,632,95.12
42134,94.07,96.92,0,581,96.6
42413,93.03,97.79,0,548,98.16
42692,92.9,97.59,0,664,95.97
42971,91.17,96.64,0,645,95.03
43250,92.79,96.09,0,639,96.03
43529,93.89,97.59,0,636,97.15
43808,94.07,96.26,0,649,96.42
44087,94.76,98.49,0,605,97.69
44366,92.52,97.1,0,640,97.34
44645,94.33,98.03,0,670,97.9
44924,95.51,100.75,0,550,98.63
45203,90.87,97.67,0,649,96.01
45482,93.23,98.27,0,595,97.18
45761,93.75,98.51,0,679,96.97
46040,96.81,98.95,0,669,98.53
46319,97.23,101.55,0,597,99.3
46598,95.54,100.38,0,608,97.8
46877,97.38,101.71,0,636,99.22
47156,95.46,101.85,0,640,99.14
47435,96.57,100.4,0,621,98.22
47714,94.39,100.06,0,641,99.13
47993,95.1,99.04,0,577,99.25
48272,95.45,98.48,0,493,99.0
48551,93.59,96.97,0,475,98.22
48830,93.56,95.79,0,465,98.22
49109,94.58,96.87,0,424,97.67
49388,92.42,97.4,0,387,97.11
49667,91.89,96.95,0,345,98.5
49946,93.96,98.99,0,315,100.85
50225,93.56,98.39,0,324,100.4
50504,95.59,100.22,0,285,100.56
50783,96.87,99.91,0,294,100.24
51062,95.97,101.11,0,280,102.49
51341,96.86,100.12,0,248,102.44
51620,94.37,97.65,0,233,100.4
51899,97.6,101.59,0,224,103.01
52178,98.7,101.51,0,224,103.07
52457,96.25,102.08,0,217,99.85
52736,97.02,99.1,0,172,103.29
53015,97.43,102.89,0,160,104.91
53294,98.58,102.47,0,135,103.3
53573,98.89,103.38,1,150,102.16
53852,95.53,104.07,1,119,105.07
54131,99.11,105.46,1,97,106.54
54410,99.54,103.63,1,99,107.27
54689,101.36,105.98,1,102,105.14
54968,99.34,104.6,1,90,104.92
55247,94.62,101.88,1,84,102.86
55526,98.39,104.12,1,77,104.39
55805,96.9,102.31,1,76,104.67
56084,103.73,110.03,1,73,105.47
56363,96.91,102.86,1,58,104.81
56642,100.79,103.28,1,60,103.75
56921,95.05,96.84,1,53,102.65
57200,95.19,104.22,1,61,103.92
57479,96.6,99.08,1,63,101.31
57758,93.28,99.16,1,66,100.64
58037,99.56,101.84,1,66,102.53
58316,99.42,98.39,1,88,99.02
58595,94.1,99.97,1,85,101.87
58874,101.14,102.28,1,115,102.28
59153,97.28,102.29,1,158,103.3
59432,98.58,100.87,1,188,101.75
59711,101.98,103.76,1,233,103.87
59990,105.66,108.57,1,285,106.75
60269,103.37,108.06,1,301,105.46
60548,102.91,105.76,1,424,103.32
60827,100.4,105.19,1,431,102.17
61106,99.98,100.19,1,513,99.89
61385,97.84,101.82,1,540,100.79
61664,97.94,99.3,1,586,98.85
61943,97.27,98.76,1,608,98.56
62222,99.15,102.04,1,543,100.28
62501,97.39,100.32,1,550,98.56
62780,96.02,100.16,1,626,98.62
63059,95.13,97.33,1,655,97.57
63338,93.14,95.87,1,717,96.2
63617,93.21,94.06,1,748,94.63
63896,91.69,92.48,1,821,92.62
64175,91.32,92.96,1,838,92.79
64454,88.64,90.59,1,938,90.12
64733,90.01,89.74,1,858,92.31
65012,90.06,92.17,1,845,91.52
65291,88.73,90.5,1,911,90.98
65570,89.11,90.61,1,833,91.61
65849,87.49,91.29,1,863,92.13
66128,90.1,90.93,1,975,90.95
66407,90.1,90.43,1,932,91.71
66686,89.22,92.28,1,853,92.33
66965,92.22,94.76,1,923,93.58
67244,92.53,94.07,1,767,95.2
67523,92.35,94.14,1,780,94.91
67802,94.34,94.82,1,795,95.27
68081,92.36,94.42,1,828,93.64
68360,93.38,95.14,1,777,95.58
68639,92.87,95.76,1,805,94.64
68918,96.07,96.84,1,752,97.46
69197,93.65,96.02,1,755,95.63
69476,92.78,95.56,1,744,95.49
69755,93.99,96.5,1,754,96.43
70034,94.07,96.78,1,670,96.13
70313,96.6,98.05,1,621,98.16
70592,95.21,98.82,1,679,97.91
70871,98.04,99.24,1,638,99.05
71150,96.58,99.27,1,604,97.61
71429,97.48,100.1,1,560,99.36
71708,96.79,101.25,1,561,99.87
71987,95.53,97.73,1,662,97.78
72266,94.69,99.26,1,664,97.63
72545,97.16,100.44,1,628,99.36
72824,94.83,99.01,1,644,99.06
73103,96.2,101.43,1,600,100.44
73382,97.89,100.74,1,547,99.5
73661,96.01,99.34,1,527,98.78
73940,97.48,100.24,1,536,100.92
74219,98.54,101.71,1,502,101.6
74498,97.98,101.98,1,466,101.79
74777,97.65,101.35,1,455,101.13
75056,96.0,101.04,1,406,99.87
75335,93.58,96.16,1,346,97.51
75614,96.05,98.38,1,395,98.4
75893,94.93,98.02,1,372,98.38
76172,94.35,99.66,1,349,98.49
76451,97.09,99.38,1,335,100.98
76730,97.84,100.13,1,335,98.72
77009,95.48,99.43,1,373,97.86
77288,94.07,97.96,1,334,99.2
77567,93.7,98.18,1,296,97.69
