,이전VDS,이후VDS,holiday,교통량,평균속도
102,103.4,100.16,0,230,102.54
381,101.97,97.1,0,176,100.06
660,102.73,98.23,0,176,99.64
939,102.85,99.55,0,151,101.86
1218,104.18,97.53,0,137,103.27
1497,99.59,96.21,0,103,96.35
1776,97.79,90.9,0,92,95.75
2055,100.62,97.46,0,83,101.88
2334,95.41,94.41,0,80,94.58
2613,94.49,95.11,0,62,93.29
2892,92.45,88.33,0,78,89.85
3171,94.99,90.67,0,106,92.85
3450,91.63,87.63,0,93,88.59
3729,93.39,88.76,0,99,91.83
4008,93.17,90.01,0,105,90.67
4287,94.24,93.92,0,95,92.74
4566,93.42,91.79,0,109,93.77
4845,94.19,90.82,0,148,94.36
5124,96.15,92.16,0,144,93.89
5403,96.94,95.61,0,194,95.96
5682,97.64,98.15,0,222,94.12
5961,103.42,100.4,0,249,100.84
6240,103.5,102.95,0,302,100.94
6519,106.58,104.26,0,327,106.95
6798,104.54,101.23,0,476,103.64
7077,106.32,103.6,0,556,106.49
7356,107.55,102.35,0,657,107.22
7635,106.62,103.06,0,768,105.95
7914,106.19,102.3,0,837,105.9
8193,103.86,99.73,0,1062,104.53
8472,103.27,100.7,0,1137,103.32
8751,102.55,100.44,0,1195,102.33
9030,100.7,98.66,0,1244,101.1
9309,101.78,97.89,0,1226,101.18
9588,101.43,99.1,0,1134,101.74
9867,101.97,99.25,0,979,101.79
10146,100.41,96.63,0,1065,100.08
10425,98.72,95.14,0,1039,98.48
10704,99.53,94.69,0,1094,98.65
10983,99.44,95.44,0,1098,98.2
11262,97.06,93.26,0,1137,96.46
11541,95.43,93.91,0,1184,94.81
11820,96.1,92.82,0,1146,95.15
12099,96.64,93.28,0,1131,95.84
12378,98.49,92.54,0,1081,98.06
12657,97.81,95.38,0,1031,97.97
12936,98.72,94.84,0,1073,98.85
13215,99.53,96.07,0,1011,98.94
13494,98.95,95.76,0,980,99.15
13773,99.74,98.02,0,943,99.46
14052,99.28,96.69,0,984,99.08
14331,101.03,96.0,0,951,100.39
14610,99.7,95.89,0,1035,98.82
14889,98.8,96.91,0,1047,98.59
15168,97.99,94.98,0,1108,97.2
15447,98.16,95.24,0,1124,97.8
15726,97.88,97.09,0,1076,97.17
16005,97.96,94.74,0,1057,97.39
16284,97.32,96.0,0,1141,96.54
16563,97.77,94.82,0,1066,97.42
16842,97.26,93.85,0,1126,97.84
17121,95.47,94.14,0,1133,95.27
17400,97.85,94.5,0,1131,96.94
17679,96.0,93.59,0,1103,95.97
17958,94.83,91.85,0,1186,94.43
18237,94.93,91.41,0,1230,94.39
18516,95.74,90.85,0,1213,94.68
18795,97.11,95.74,0,1211,96.99
19074,95.88,96.6,0,1236,95.62
19353,93.41,87.76,0,1399,93.76
19632,95.24,48.85,0,1317,95.25
19911,95.81,92.28,0,1260,94.3
20190,96.44,95.49,0,1286,95.01
20469,95.17,96.35,0,1306,93.47
20748,95.64,97.17,0,1315,95.54
21027,96.34,97.49,0,1163,95.64
21306,100.11,97.98,0,1018,99.39
21585,101.08,101.3,0,950,99.63
21864,99.93,96.71,0,861,97.6
22143,101.52,97.26,0,741,99.17
22422,101.7,95.77,0,699,99.42
22701,101.99,97.09,0,666,100.27
22980,100.52,99.48,0,754,98.24
23259,104.03,100.49,0,610,102.57
23538,102.67,100.69,0,545,101.66
23817,102.92,98.42,0,555,101.4
24096,104.36,100.25,0,517,103.99
24375,101.73,100.29,0,508,101.33
24654,100.97,97.38,0,473,99.75
24933,102.69,97.87,0,458,101.18
25212,103.74,98.6,0,402,103.12
25491,103.62,98.63,0,367,101.27
25770,104.13,100.24,0,312,101.99
26049,102.4,101.5,0,252,100.76
26328,108.4,102.17,0,257,106.4
26607,102.82,98.34,0,215,102.72
26886,100.5,100.09,0,156,96.97
27165,102.34,98.6,0,180,99.83
27444,103.08,96.15,0,183,102.05
27723,102.02,99.4,0,149,103.34
28002,102.75,98.68,0,134,104.0
28281,97.02,94.04,0,124,94.72
28560,101.9,96.38,0,127,100.42
28839,100.18,99.0,0,94,98.82
29118,93.26,92.79,0,78,89.41
29397,96.13,90.0,0,111,94.05
29676,100.26,95.75,0,91,100.13
29955,93.31,92.0,0,99,90.83
30234,92.68,88.14,0,98,91.61
30513,91.88,88.47,0,84,88.91
30792,93.37,92.54,0,110,90.45
31071,93.15,91.01,0,114,93.5
31350,92.31,90.44,0,135,92.0
31629,98.4,93.82,0,163,96.66
31908,96.4,95.41,0,193,94.35
32187,97.76,93.14,0,182,94.1
32466,98.74,94.57,0,266,96.01
32745,101.14,98.09,0,260,98.71
33024,104.77,101.49,0,315,102.6
33303,106.49,104.64,0,371,105.44
33582,105.81,103.91,0,443,104.33
33861,106.91,104.62,0,530,105.96
34140,108.09,103.98,0,622,108.36
34419,107.3,103.08,0,759,107.15
34698,104.82,101.81,0,856,104.7
34977,104.22,99.69,0,1047,103.62
35256,102.14,98.16,0,1130,100.85
35535,102.36,98.98,0,1106,102.33
35814,102.56,99.71,0,1132,102.42
36093,99.49,97.58,0,1199,99.38
36372,101.93,98.88,0,1080,101.81
36651,100.49,97.92,0,1016,100.05
36930,99.5,96.83,0,1053,99.0
37209,99.32,94.43,0,1033,98.49
37488,99.1,95.17,0,1073,98.95
37767,98.06,94.1,0,1127,97.6
38046,97.33,95.28,0,1201,96.74
38325,96.04,93.47,0,1124,95.24
38604,97.2,94.23,0,1192,96.27
38883,95.49,93.44,0,1229,94.6
39162,97.24,67.78,0,1188,95.81
39441,96.01,92.82,0,1240,95.43
39720,99.18,95.63,0,1117,99.29
39999,97.1,95.08,0,1097,97.1
40278,98.83,95.5,0,1087,98.54
40557,98.84,95.17,0,1085,98.18
40836,98.82,95.73,0,1054,98.39
41115,98.46,83.31,0,1155,97.39
41394,98.44,94.55,0,1064,98.05
41673,97.76,96.2,0,1225,97.57
41952,98.38,96.16,0,1149,98.75
42231,95.56,93.32,0,1273,95.28
42510,95.08,94.8,0,1291,94.89
42789,96.18,95.32,0,1281,96.04
43068,96.1,94.66,0,1235,96.55
43347,94.62,95.55,0,1399,93.89
43626,96.3,93.6,0,1247,95.79
43905,96.11,93.8,0,1258,96.26
44184,91.62,94.21,0,1441,91.89
44463,94.98,94.04,0,1383,94.59
44742,94.83,94.31,0,1384,93.98
45021,93.42,93.56,0,1399,92.93
45300,93.43,92.15,0,633,92.63
45579,90.5,86.63,0,1498,90.82
45858,92.85,63.44,0,1516,91.89
46137,94.04,41.45,0,1483,93.56
46416,88.63,45.01,0,1616,86.28
46695,90.34,43.42,0,1565,89.98
46974,92.45,49.68,0,1490,93.21
47253,91.59,46.94,0,1559,90.33
47532,87.04,46.55,0,1472,79.31
47811,89.08,51.16,0,1464,86.05
48090,66.66,49.62,0,1246,29.93
48369,82.48,74.3,0,1271,63.86
