,이전VDS,이후VDS,holiday,교통량,평균속도
200,97.12,78.7,0,191,77.3
479,99.14,80.63,0,146,79.75
758,102.32,79.94,0,142,82.44
1037,98.97,78.62,0,150,82.23
1316,97.4,79.18,0,165,74.33
1595,97.16,76.51,0,148,77.79
1874,93.67,75.17,0,116,76.04
2153,97.41,75.93,0,118,78.45
2432,97.21,77.42,0,140,76.67
2711,96.45,77.39,0,140,79.57
2990,96.07,80.02,0,115,78.88
3269,92.33,77.7,0,122,76.59
3548,92.18,73.51,0,132,71.77
3827,93.51,77.62,0,159,73.53
4106,94.48,74.83,0,187,75.86
4385,95.49,75.5,0,186,73.06
4664,94.8,74.55,0,186,74.59
4943,95.21,78.53,0,217,72.94
5222,96.59,77.57,0,216,73.84
5501,98.96,77.95,0,277,73.73
5780,98.32,80.5,0,298,73.03
6059,100.82,80.54,0,346,76.15
6338,100.97,81.65,0,386,74.49
6617,104.22,83.49,0,422,83.0
6896,106.02,83.9,0,487,82.85
7175,105.16,83.72,0,556,81.92
7454,104.91,83.66,0,600,80.7
7733,106.18,84.26,0,592,84.63
8012,106.48,84.32,0,674,87.09
8291,107.07,84.48,0,726,86.71
8570,105.1,83.25,0,839,84.49
8849,106.37,84.01,0,809,86.76
9128,106.47,84.18,0,790,87.19
9407,104.99,83.36,0,841,86.61
9686,104.87,83.13,0,762,85.85
9965,104.59,83.5,0,727,86.89
10244,103.05,81.87,0,773,84.81
10523,99.59,79.72,0,872,81.94
10802,100.94,78.98,0,865,82.12
11081,103.6,80.32,0,897,84.6
11360,102.19,80.54,0,872,83.23
11639,102.87,79.85,0,943,84.05
11918,101.67,80.27,0,876,84.27
12197,101.95,79.78,0,904,83.47
12476,102.34,80.92,0,854,83.96
12755,102.38,80.67,0,856,82.25
13034,101.86,80.5,0,915,82.85
13313,104.66,81.69,0,807,85.9
13592,102.32,80.03,0,839,80.88
13871,102.54,81.16,0,811,83.18
14150,103.8,81.13,0,805,82.75
14429,103.98,81.52,0,764,83.14
14708,103.31,82.15,0,743,83.26
14987,102.37,81.79,0,809,82.9
15266,102.24,82.43,0,793,83.72
15545,101.85,80.64,0,871,82.15
15824,103.69,81.06,0,897,82.92
16103,104.34,82.07,0,769,84.28
16382,101.34,81.13,0,916,82.89
16661,101.2,80.52,0,986,82.34
16940,102.1,80.41,0,915,83.04
17219,100.96,81.03,0,889,83.37
17498,102.46,81.23,0,946,84.94
17777,102.44,81.59,0,868,85.7
18056,102.47,80.94,0,967,84.06
18335,103.94,81.93,0,928,85.1
18614,103.33,82.02,0,973,84.74
18893,103.3,82.37,0,908,86.15
19172,103.79,81.93,0,868,84.61
19451,105.6,83.82,0,857,86.17
19730,105.12,82.63,0,879,85.95
20009,107.24,83.43,0,865,86.39
20288,107.02,84.14,0,729,88.13
20567,107.95,84.6,0,728,87.96
20846,108.53,84.59,0,698,87.9
21125,107.27,84.83,0,706,88.11
21404,106.91,84.69,0,651,87.56
21683,106.02,82.6,0,607,84.52
21962,103.6,83.33,0,538,84.15
22241,105.93,83.89,0,505,85.01
22520,104.9,80.81,0,458,81.92
22799,104.52,83.42,0,471,81.22
23078,105.03,82.16,0,431,82.14
23357,104.85,82.85,0,443,82.32
23636,105.4,83.5,0,453,83.48
23915,105.22,82.64,0,413,81.56
24194,104.82,84.12,0,416,83.41
24473,104.35,84.49,0,387,82.06
24752,104.22,82.23,0,430,80.06
25031,103.13,83.42,0,381,79.22
25310,103.24,81.11,0,316,77.98
25589,101.79,79.88,0,307,76.1
25868,103.03,82.26,0,250,82.33
26147,104.3,83.77,0,261,80.69
26426,101.2,80.15,0,206,81.61
26705,101.91,80.88,0,227,79.25
26984,101.81,81.52,0,193,78.32
27263,101.64,80.39,0,206,80.39
27542,101.19,80.75,0,167,78.74
27821,101.61,78.84,0,191,76.37
28100,99.53,78.16,0,183,75.02
28379,96.56,76.65,0,141,74.94
28658,98.16,78.3,0,143,78.17
28937,98.81,76.64,0,139,78.28
29216,97.97,77.55,0,125,75.79
29495,98.92,80.87,0,111,81.12
29774,99.52,76.51,0,116,77.68
30053,97.69,78.37,0,141,78.66
30332,96.79,76.49,0,109,77.41
30611,95.68,74.05,0,120,71.92
30890,96.59,79.05,0,121,76.1
31169,96.32,74.33,0,133,76.22
31448,94.75,77.93,0,181,72.17
31727,97.68,77.48,0,184,72.62
32006,97.91,78.04,0,248,73.92
32285,98.11,80.36,0,304,73.5
32564,97.4,78.19,0,307,71.69
32843,99.82,81.69,0,336,77.26
33122,103.0,81.92,0,381,77.3
33401,104.07,82.69,0,421,80.32
33680,105.18,83.44,0,492,81.11
33959,105.17,82.97,0,545,79.73
34238,105.07,83.54,0,570,81.81
34517,106.35,84.26,0,544,84.31
34796,103.37,83.88,0,664,86.52
35075,106.06,85.17,0,757,86.62
35354,105.82,84.2,0,784,86.98
35633,105.97,84.31,0,776,87.7
35912,108.4,85.16,0,753,88.45
36191,108.11,84.6,0,780,87.73
36470,105.77,84.07,0,743,87.95
36749,104.03,84.27,0,759,86.1
37028,103.91,82.58,0,717,85.95
37307,105.22,82.65,0,791,84.64
37586,103.16,81.69,0,843,84.83
37865,103.38,81.79,0,888,84.03
38144,103.71,82.21,0,852,83.83
38423,103.0,81.52,0,844,84.61
38702,102.21,81.24,0,913,83.48
38981,102.67,81.63,0,868,84.25
39260,101.09,80.45,0,987,83.7
39539,103.41,81.5,0,988,84.16
39818,101.2,80.57,0,939,81.26
40097,102.07,81.59,0,834,83.38
40376,103.02,81.45,0,914,83.53
40655,102.64,80.58,0,844,83.09
40934,102.41,81.12,0,833,83.54
41213,102.03,81.5,0,910,82.81
41492,101.74,81.32,0,929,83.92
41771,101.8,81.1,0,1003,84.83
42050,100.02,80.56,0,1012,82.62
42329,101.51,80.26,0,1084,82.32
42608,102.26,81.27,0,1049,84.46
42887,101.71,80.4,0,1145,82.2
43166,101.36,80.67,0,1169,80.88
43445,100.84,80.43,0,1111,81.91
43724,102.3,80.65,0,1189,81.56
44003,99.9,80.64,0,1234,82.0
44282,102.75,80.64,0,1250,81.97
44561,102.42,80.63,0,1163,83.57
44840,101.94,81.19,0,1152,82.63
45119,102.45,81.33,0,1177,83.62
45398,102.13,81.21,0,1249,82.2
45677,105.49,82.42,0,1065,85.43
45956,103.76,82.16,0,1146,82.58
46235,102.7,82.28,0,1177,83.96
46514,103.82,82.35,0,1142,84.54
46793,105.3,82.77,0,1175,83.75
47072,104.87,82.39,0,1073,83.85
47351,105.53,83.61,0,1051,85.5
47630,105.14,83.18,0,1022,85.85
47909,104.97,83.21,0,965,84.7
48188,104.36,83.1,0,946,85.51
48467,105.77,82.93,0,883,85.15
48746,101.45,81.85,0,816,84.18
49025,103.31,83.35,0,743,83.44
49304,105.34,83.55,0,762,85.48
49583,105.93,83.75,0,741,83.75
49862,105.77,83.75,0,616,84.52
50141,105.6,84.23,0,618,84.91
50420,107.14,84.73,0,606,87.73
50699,106.45,84.3,0,567,86.13
50978,105.79,85.22,0,591,86.79
51257,106.83,85.89,0,485,87.79
51536,106.01,85.81,0,498,85.71
51815,106.67,85.35,0,468,86.93
52094,105.44,86.11,0,358,86.19
52373,105.37,85.5,0,321,85.46
52652,107.0,84.5,0,305,86.41
52931,107.74,86.88,0,258,87.45
53210,106.83,85.61,0,239,86.28
53489,105.99,83.48,0,246,86.65
53768,105.05,86.85,1,220,85.69
54047,107.37,87.34,1,206,87.06
54326,103.82,83.03,1,204,87.63
54605,105.11,82.88,1,198,83.76
54884,102.78,84.08,1,165,85.04
55163,99.67,81.13,1,147,82.35
55442,105.43,84.78,1,113,87.13
55721,97.26,80.1,1,168,82.43
56000,101.72,80.74,1,133,85.27
56279,98.28,80.92,1,114,81.83
56558,98.8,79.53,1,79,81.52
56837,97.67,80.94,1,109,83.1
57116,98.66,79.0,1,99,82.06
57395,98.83,78.48,1,91,79.01
57674,100.95,81.73,1,100,84.74
57953,100.59,82.42,1,110,81.73
58232,99.94,79.68,1,120,82.69
58511,102.08,81.68,1,109,80.97
58790,101.97,80.12,1,138,83.73
59069,102.72,83.31,1,163,83.68
59348,102.44,82.06,1,175,79.44
59627,104.33,86.29,1,232,84.14
59906,103.72,84.57,1,281,81.72
60185,108.84,86.82,1,280,86.29
60464,108.43,86.08,1,338,84.93
60743,109.08,86.89,1,397,87.58
61022,107.25,85.22,1,433,83.56
61301,106.78,84.66,1,458,85.51
61580,103.84,82.56,1,493,84.12
61859,103.84,82.56,1,549,84.12
62138,103.84,82.56,1,576,84.12
62417,103.84,82.56,1,562,84.12
