,이전VDS,이후VDS,holiday,교통량,평균속도
211,78.41,89.25,0,133,92.81
490,79.75,87.72,0,105,93.56
769,72.76,87.75,0,100,92.9
1048,76.9,87.38,0,99,94.81
1327,78.29,86.13,0,95,91.22
1606,76.45,87.11,0,82,91.58
1885,74.31,84.18,0,53,86.56
2164,75.77,83.61,0,64,93.75
2443,77.29,85.42,0,71,88.67
2722,77.47,83.28,0,64,91.53
3001,79.2,88.72,0,67,94.8
3280,77.91,82.75,0,61,91.8
3559,78.17,82.56,0,55,91.76
3838,77.69,84.39,0,76,89.24
4117,77.49,82.6,0,84,89.97
4396,77.94,85.52,0,67,90.99
4675,79.05,84.23,0,71,90.76
4954,75.94,83.42,0,89,88.89
5233,76.83,84.88,0,120,92.07
5512,75.82,85.96,0,144,89.45
5791,75.96,84.64,0,165,92.33
6070,76.43,84.1,0,187,95.48
6349,78.26,96.44,0,257,93.39
6628,79.53,96.13,0,278,96.84
6907,78.75,96.67,0,282,97.61
7186,78.53,95.18,0,362,98.24
7465,79.26,94.31,0,393,98.29
7744,78.03,94.04,0,431,97.17
8023,79.73,93.34,0,463,98.24
8302,79.16,95.06,0,551,96.25
8581,81.7,94.15,0,612,97.17
8860,80.37,95.41,0,580,98.58
9139,82.1,95.61,0,603,97.07
9418,80.93,95.06,0,610,98.09
9697,81.03,93.3,0,647,96.33
9976,79.9,94.18,0,576,97.0
10255,79.9,92.87,0,602,96.86
10534,79.96,93.62,0,660,96.04
10813,77.9,88.19,0,670,93.3
11092,80.8,92.88,0,702,96.14
11371,77.16,89.87,0,756,93.93
11650,78.0,89.2,0,756,93.55
11929,79.96,90.88,0,758,94.49
12208,82.5,90.19,0,774,94.04
12487,82.01,92.52,0,788,94.24
12766,80.7,90.7,0,757,94.13
13045,78.76,90.28,0,800,92.56
13324,81.46,90.85,0,749,93.4
13603,81.61,92.0,0,745,94.06
13882,77.36,90.27,0,719,93.29
14161,79.53,92.84,0,723,92.97
14440,80.14,92.41,0,717,94.16
14719,82.8,92.92,0,717,93.77
14998,81.85,92.13,0,758,93.02
15277,81.5,91.11,0,766,93.15
15556,80.23,92.33,0,751,93.24
15835,79.03,91.25,0,718,92.46
16114,81.56,92.46,0,773,93.09
