,이전VDS,이후VDS,holiday,교통량,평균속도
8,100.54,110.06,0,561,114.83
280,98.09,107.65,0,433,113.87
552,101.63,111.75,0,479,114.46
824,97.68,108.14,0,416,112.36
1096,95.39,105.85,0,406,109.39
1368,95.17,105.42,0,348,108.5
1640,94.19,103.18,0,392,106.86
1912,92.92,104.92,0,331,105.71
2184,90.17,103.79,0,328,101.85
2456,90.47,99.74,0,291,100.67
2728,89.48,100.3,0,250,104.76
3000,95.67,103.73,0,222,104.41
3272,94.93,105.08,0,230,104.04
3544,93.18,105.41,0,210,106.42
3816,92.42,103.24,0,291,107.01
4088,94.46,103.81,0,249,101.73
4360,97.01,105.66,0,286,109.28
4632,95.66,105.7,0,374,106.28
4904,98.81,108.74,0,384,109.04
5176,100.87,112.11,0,503,114.48
5448,97.28,107.94,0,604,111.82
5720,99.76,109.78,0,707,116.92
5992,100.34,110.43,0,821,121.75
6264,99.07,106.48,0,1028,119.39
6536,97.03,104.91,0,1150,115.98
6808,92.45,100.44,0,1273,110.56
7080,89.01,97.43,0,1507,107.14
7352,81.82,91.68,0,1689,100.08
7624,81.99,87.77,0,1796,95.19
7896,84.45,90.12,0,1831,98.46
8168,86.31,93.19,0,1821,102.39
8440,87.42,94.52,0,1788,101.89
8712,87.15,92.77,0,1784,101.1
8984,84.27,92.78,0,1739,99.94
9256,87.48,93.87,0,1608,102.6
9528,87.89,95.34,0,1537,104.82
9800,88.67,96.74,0,1487,104.93
10072,84.76,92.42,0,1584,99.93
10344,83.17,90.1,0,1625,98.59
10616,83.47,92.1,0,1523,99.21
10888,85.1,91.19,0,1515,98.45
11160,82.88,92.43,0,1592,98.9
11432,84.04,90.99,0,1556,98.03
11704,84.26,90.74,0,1559,98.49
11976,84.21,90.74,0,1548,98.06
12248,86.76,93.47,0,1519,102.27
12520,85.18,91.51,0,1564,99.97
12792,85.27,92.24,0,1548,101.74
13064,85.98,93.69,0,1557,101.72
13336,85.77,93.09,0,1508,100.5
13608,86.47,92.75,0,1480,102.34
13880,85.34,93.94,0,1465,100.85
14152,85.26,94.05,0,1493,102.44
14424,87.64,93.24,0,1414,103.35
14696,87.92,94.67,0,1431,105.3
14968,88.69,97.25,0,1383,106.17
15240,84.64,93.07,0,1522,100.14
15512,84.54,91.82,0,1532,99.1
15784,88.77,95.14,0,1389,106.14
16056,90.81,98.81,0,1347,108.91
16328,93.87,100.52,0,1283,111.71
16600,86.21,96.57,0,1268,79.04
16872,84.17,91.9,0,1390,74.4
17144,92.31,100.11,0,1279,109.79
17416,89.72,99.51,0,1261,108.97
17688,89.51,98.7,0,1259,106.6
17960,89.15,97.4,0,1310,107.3
18232,93.18,100.67,0,1295,110.39
18504,94.31,103.01,0,1206,113.85
