,이전VDS,이후VDS,holiday,교통량,평균속도
153,97.9,106.64,0,219,102.25
425,93.88,99.92,0,218,97.94
697,94.07,101.42,0,195,98.41
969,94.46,101.19,0,197,99.21
1241,95.54,101.27,0,189,100.21
1513,93.06,95.87,0,181,96.45
1785,91.02,99.65,0,202,95.71
2057,91.68,95.12,0,164,95.16
2329,90.61,94.16,0,169,95.46
2601,92.38,98.88,0,137,94.69
2873,89.97,92.81,0,138,93.2
3145,89.31,93.45,0,144,92.44
3417,87.04,94.11,0,134,91.71
3689,88.04,93.07,0,129,91.08
3961,86.05,86.01,0,152,86.76
4233,88.79,93.28,0,161,92.29
4505,87.71,91.72,0,153,91.95
4777,87.91,91.85,0,176,90.98
5049,91.54,93.6,0,172,91.65
5321,88.46,92.15,0,193,91.61
5593,87.5,90.89,0,195,91.57
5865,89.67,95.36,0,196,93.68
6137,89.3,95.02,0,256,94.47
6409,92.34,97.9,0,278,96.86
6681,95.98,100.73,0,303,100.57
6953,95.86,102.12,0,366,99.61
7225,96.59,101.91,0,374,100.6
7497,96.71,102.42,0,375,100.37
7769,98.34,105.98,0,438,102.72
8041,98.44,103.79,0,453,102.02
8313,100.62,107.62,0,485,104.69
8585,99.95,105.55,0,504,103.09
8857,101.22,108.41,0,499,105.5
9129,102.14,108.95,0,535,105.73
9401,102.55,109.09,0,540,105.99
9673,103.11,109.67,0,563,106.73
9945,100.99,106.75,0,563,104.86
10217,100.12,108.29,0,613,104.61
10489,101.2,108.56,0,591,104.57
10761,101.08,106.38,0,571,104.09
11033,98.75,104.87,0,699,101.72
11305,100.94,106.64,0,664,103.9
11577,99.7,105.09,0,661,102.64
11849,101.15,106.19,0,699,103.77
12121,100.28,106.28,0,691,103.24
12393,98.99,105.35,0,678,102.74
12665,100.61,106.05,0,628,103.4
12937,99.38,105.38,0,674,102.53
13209,99.74,106.67,0,676,103.14
13481,99.39,105.23,0,659,102.97
13753,99.46,105.02,0,630,102.29
14025,98.83,103.86,0,705,102.04
14297,100.02,106.67,0,673,103.26
14569,99.26,106.2,0,715,102.79
14841,98.78,104.68,0,814,101.89
15113,99.15,106.84,0,721,103.02
15385,98.79,104.17,0,804,101.51
15657,98.96,104.88,0,781,101.86
15929,99.79,105.43,0,787,102.85
16201,98.61,105.63,0,847,101.97
16473,98.35,103.8,0,912,101.3
16745,99.05,105.97,0,831,102.46
17017,100.52,108.44,0,859,104.54
17289,99.78,106.04,0,881,103.11
17561,100.01,106.89,0,938,103.63
17833,99.51,105.43,0,934,102.71
18105,99.38,106.43,0,896,103.14
18377,98.59,103.92,0,1005,101.31
18649,99.32,104.11,0,1047,101.71
18921,99.31,104.77,0,1050,102.04
19193,100.15,103.27,0,1073,101.8
19465,101.37,107.39,0,961,104.69
19737,100.4,106.48,0,972,103.74
20009,100.53,106.52,0,923,103.5
20281,101.03,107.4,0,937,104.19
20553,99.42,107.31,0,837,103.63
20825,99.31,107.31,0,749,103.55
21097,100.66,107.94,0,732,104.23
21369,98.34,106.08,0,650,102.31
21641,96.3,103.33,0,622,100.61
21913,97.45,104.09,0,595,100.65
22185,96.29,103.42,0,610,100.06
22457,97.42,105.54,0,537,101.61
22729,98.96,106.86,0,523,103.14
23001,97.58,107.49,0,495,102.31
23273,97.39,102.98,0,499,100.55
23545,97.59,103.7,0,471,100.83
23817,98.58,105.28,0,391,101.73
24089,98.35,105.41,0,437,102.13
24361,100.2,106.98,0,408,103.05
24633,96.82,103.6,0,380,100.73
24905,96.67,103.81,0,346,100.46
25177,97.56,105.29,0,300,102.19
25449,96.79,105.4,0,290,101.39
25721,96.59,103.88,0,291,101.81
25993,95.0,103.99,0,257,101.6
26265,98.12,105.05,0,267,102.31
26537,94.49,104.43,0,251,100.42
26809,98.86,104.25,0,227,100.94
27081,96.26,100.8,0,194,99.99
27353,93.22,100.26,0,200,96.95
27625,94.07,103.37,0,207,99.36
27897,92.99,97.24,0,175,96.17
28169,94.24,99.85,0,151,99.41
28441,92.09,97.63,0,148,96.45
28713,87.25,93.39,0,145,92.25
28985,90.24,99.67,0,138,94.47
29257,88.78,100.0,0,125,94.57
29529,90.43,92.43,0,135,91.4
29801,86.13,90.41,0,155,89.71
30073,86.22,88.93,0,158,89.77
30345,87.29,94.11,0,135,92.27
30617,83.68,89.3,0,134,88.96
30889,87.7,89.83,0,172,89.33
31161,87.37,95.43,0,185,92.97
31433,85.99,91.95,0,189,90.31
31705,88.44,90.83,0,213,90.41
31977,89.97,98.18,0,240,95.4
32249,91.03,98.29,0,245,96.14
32521,91.59,96.4,0,329,95.53
32793,93.14,96.79,0,313,95.55
33065,95.71,102.12,0,344,100.38
33337,95.83,102.22,0,336,100.38
33609,97.93,102.95,0,359,101.3
33881,97.54,104.28,0,390,101.88
34153,98.06,104.19,0,451,101.17
34425,100.4,109.63,0,469,105.63
34697,100.27,107.29,0,536,104.14
34969,99.35,106.29,0,536,103.68
35241,99.8,107.52,0,551,104.23
35513,100.99,108.38,0,493,104.9
35785,101.03,108.43,0,530,104.85
36057,100.57,107.01,0,564,104.08
36329,100.62,108.72,0,644,104.89
36601,100.19,106.75,0,627,103.38
36873,98.22,105.57,0,595,102.01
37145,99.82,106.96,0,673,103.34
37417,96.86,106.99,0,689,102.2
37689,99.82,106.77,0,734,103.41
37961,98.94,104.63,0,697,101.87
38233,98.43,103.64,0,727,100.89
38505,100.91,107.43,0,723,104.5
38777,100.09,106.59,0,686,102.65
39049,100.05,104.53,0,720,102.61
39321,100.11,104.38,0,682,102.44
39593,97.68,104.17,0,823,101.11
39865,98.98,106.23,0,745,102.82
40137,98.22,105.73,0,795,102.0
40409,100.18,103.9,0,736,102.0
40681,99.25,103.28,0,915,101.13
40953,98.4,103.15,0,928,101.17
41225,99.84,105.48,0,883,102.79
41497,98.65,104.63,0,919,101.8
41769,100.31,106.65,0,885,103.45
42041,98.87,105.18,0,977,102.02
42313,101.43,106.39,0,879,103.84
42585,100.06,105.66,0,952,102.84
42857,100.48,107.47,0,950,103.89
43129,98.91,104.07,0,1126,101.45
43401,101.76,107.84,0,1016,104.74
43673,101.14,105.96,0,1039,103.69
43945,98.84,103.05,0,1175,100.71
44217,99.61,103.63,0,1133,100.25
44489,98.55,103.93,0,1121,101.23
44761,99.21,103.37,0,1258,101.34
45033,97.48,102.63,0,1268,100.03
45305,99.54,102.75,0,1279,101.29
45577,100.52,106.57,0,1083,103.57
45849,100.62,106.88,0,1197,103.64
46121,101.86,105.87,0,1171,103.94
46393,97.49,104.39,0,1151,100.9
46665,99.51,105.42,0,1091,102.8
46937,100.57,109.34,0,952,104.97
47209,99.9,108.5,0,954,104.09
47481,94.83,103.0,0,950,99.16
47753,97.36,103.44,0,843,100.33
48025,98.72,106.01,0,878,102.02
48297,96.34,105.43,0,882,100.93
48569,98.84,106.46,0,882,102.63
48841,99.01,107.06,0,844,102.78
49113,97.19,107.09,0,823,101.88
49385,98.56,106.94,0,832,102.75
49657,102.54,110.39,0,677,106.73
49929,99.85,108.62,0,706,104.12
50201,99.91,109.56,0,661,104.72
50473,99.15,109.58,0,565,104.56
50745,100.04,110.02,0,598,105.17
51017,100.8,109.55,0,618,104.82
51289,103.04,112.53,0,545,107.36
51561,102.97,114.31,0,432,109.07
51833,102.07,112.85,0,555,107.27
52105,103.88,113.59,0,462,107.9
52377,102.09,115.41,1,451,108.51
52649,101.13,111.61,1,470,105.59
52921,102.97,112.11,1,469,107.19
53193,103.02,112.81,1,473,107.22
53465,99.63,110.29,1,419,105.61
53737,101.83,112.49,1,369,106.71
54009,98.61,107.58,1,277,105.59
54281,100.15,112.5,1,252,105.6
54553,100.47,111.92,1,224,105.2
54825,95.63,106.98,1,201,101.04
55097,98.27,108.92,1,181,103.54
55369,97.63,106.61,1,173,102.52
55641,96.74,105.49,1,192,101.81
55913,96.89,103.51,1,168,99.97
56185,97.67,109.66,1,179,105.6
56457,97.07,103.64,1,149,100.55
56729,93.48,99.01,1,173,98.52
57001,92.43,103.49,1,164,97.94
57273,97.76,103.77,1,179,101.34
57545,92.12,99.25,1,159,95.89
57817,92.47,98.9,1,201,97.64
58089,94.95,102.98,1,235,99.99
58361,95.37,103.56,1,245,101.0
58633,97.88,107.76,1,270,104.51
58905,101.07,109.89,1,303,104.87
59177,99.66,107.48,1,295,103.87
59449,100.24,111.29,1,365,107.16
59721,102.42,111.87,1,355,106.85
59993,102.55,111.11,1,348,107.9
60265,104.35,115.96,1,442,110.08
60537,103.13,113.71,1,413,108.76
60809,103.72,113.03,1,488,108.53
61081,103.84,115.23,1,490,109.48
61353,104.11,113.23,1,563,108.93
61625,103.5,113.36,1,630,108.45
61897,104.89,114.8,1,689,109.92
62169,104.94,113.47,1,717,109.1
62441,102.92,111.45,1,791,107.22
62713,102.83,110.71,1,894,106.75
62985,102.19,110.06,1,874,106.16
63257,102.54,111.64,1,879,107.23
