,이전VDS,이후VDS,holiday,교통량,평균속도
80,101.94,91.89,0,147,82.92
352,103.41,90.57,0,137,77.87
624,102.87,91.65,0,123,82.56
896,104.92,93.86,0,114,83.6
1168,93.28,90.94,0,95,78.41
1440,97.41,88.5,0,90,80.39
1712,100.3,90.4,0,95,79.85
1984,95.32,92.18,0,77,78.28
2256,94.73,90.56,0,99,79.9
2528,95.3,80.93,0,93,74.7
2800,94.57,85.9,0,88,76.27
3072,92.74,90.43,0,86,76.61
3344,92.8,85.05,0,68,75.62
3616,91.36,86.31,0,86,74.93
3888,97.7,88.07,0,89,72.41
4160,91.75,86.31,0,88,70.05
4432,92.89,83.32,0,83,75.64
4704,91.41,86.62,0,93,70.99
4976,96.82,88.1,0,89,75.11
5248,90.9,86.96,0,111,75.28
5520,93.89,89.42,0,121,78.87
5792,104.24,92.12,0,146,80.55
6064,111.37,95.32,0,168,84.65
6336,117.0,91.09,0,194,81.19
6608,118.97,96.97,0,220,86.36
6880,120.79,100.04,0,268,86.41
7152,123.37,100.9,0,290,87.97
7424,121.12,100.19,0,366,88.3
7696,121.82,99.14,0,384,87.65
7968,122.14,100.91,0,531,86.05
8240,124.74,104.42,0,598,88.97
8512,121.76,102.69,0,685,87.27
8784,122.04,101.95,0,734,85.97
9056,120.21,101.21,0,734,84.6
9328,120.88,101.56,0,698,83.48
9600,122.2,102.21,0,635,86.72
9872,117.75,99.46,0,656,80.74
10144,120.65,96.37,0,602,83.06
10416,117.99,96.67,0,724,82.8
10688,115.92,96.91,0,755,81.75
10960,117.28,96.64,0,697,83.31
11232,115.03,97.37,0,756,80.9
11504,114.73,95.4,0,899,80.01
11776,113.73,93.8,0,885,74.23
12048,113.15,92.47,0,847,78.56
12320,110.46,91.13,0,948,76.45
12592,111.56,91.35,0,986,75.99
12864,111.4,92.51,0,895,77.42
13136,113.25,95.25,0,788,80.2
13408,116.32,94.99,0,801,79.69
13680,116.06,98.21,0,674,83.41
13952,115.35,95.56,0,695,81.37
14224,117.46,98.16,0,671,83.42
14496,116.1,98.96,0,669,83.71
14768,114.15,96.59,0,725,80.37
15040,114.39,93.81,0,734,79.78
15312,116.49,97.51,0,747,82.16
15584,116.46,100.16,0,718,82.69
15856,114.33,96.47,0,750,82.01
16128,112.91,95.64,0,787,79.54
16400,113.66,93.55,0,876,77.95
16672,113.94,94.65,0,779,80.02
16944,112.95,94.96,0,832,75.06
17216,115.89,96.37,0,809,80.0
17488,113.89,96.53,0,757,80.92
17760,113.31,95.39,0,815,78.59
18032,115.3,95.88,0,848,76.04
18304,113.95,93.88,0,837,79.15
18576,112.33,92.93,0,996,75.0
18848,113.92,93.88,0,965,72.48
19120,119.04,94.64,0,974,73.4
19392,114.26,95.89,0,1055,75.68
19664,109.94,95.64,0,1050,69.6
19936,112.87,95.11,0,1132,69.62
20208,116.08,100.6,0,958,75.29
20480,116.43,97.98,0,878,77.27
20752,117.01,97.83,0,803,80.21
21024,118.17,96.69,0,737,80.11
21296,111.98,95.85,0,607,78.66
21568,101.73,94.7,0,535,81.07
21840,106.29,94.98,0,495,80.95
22112,107.38,96.55,0,509,79.97
22384,104.84,93.6,0,497,79.03
22656,104.95,95.89,0,466,81.58
22928,106.77,95.53,0,454,80.68
23200,109.08,96.73,0,453,82.81
23472,108.89,98.09,0,394,84.54
23744,110.33,97.5,0,349,84.61
24016,106.04,93.82,0,361,80.86
24288,109.37,94.11,0,325,82.85
24560,110.98,96.77,0,290,83.6
24832,105.49,96.57,0,303,82.35
25104,110.49,96.94,0,245,85.84
25376,106.55,98.88,0,219,86.95
25648,105.96,98.91,0,209,84.8
25920,109.46,95.46,0,196,85.79
26192,110.91,104.63,0,168,88.31
26464,104.42,98.71,0,146,85.8
26736,107.69,98.21,0,127,86.26
27008,102.0,95.64,0,127,88.18
27280,109.27,95.78,0,120,88.22
27552,104.61,91.57,0,107,82.61
27824,102.43,93.01,0,97,83.35
28096,100.3,92.35,0,75,77.85
28368,99.02,89.14,0,85,80.42
28640,99.66,88.95,0,84,78.83
28912,106.57,91.73,0,76,84.53
29184,103.5,90.62,0,59,83.03
29456,104.75,86.4,0,68,76.93
29728,102.95,85.92,0,91,78.49
30000,102.96,92.23,0,67,74.65
30272,104.32,90.47,0,90,75.0
30544,100.24,91.04,0,93,77.52
30816,98.28,87.34,0,101,73.88
31088,95.62,91.27,0,100,77.92
31360,103.2,89.58,0,118,77.01
31632,101.02,89.29,0,120,78.26
31904,109.33,96.18,0,142,82.02
32176,116.16,100.34,0,180,84.97
32448,120.89,96.69,0,211,84.53
32720,116.26,98.21,0,225,86.42
32992,128.41,103.49,0,254,89.73
33264,127.06,102.7,0,313,89.61
33536,124.18,102.98,0,335,88.61
33808,117.28,100.47,0,429,85.76
34080,122.92,102.83,0,545,87.81
34352,119.78,103.23,0,647,86.92
34624,125.24,103.32,0,632,87.09
34896,121.48,101.44,0,806,83.44
35168,120.97,102.62,0,815,83.51
35440,121.97,101.93,0,760,85.48
35712,121.65,101.42,0,718,86.31
35984,120.52,100.42,0,628,86.35
36256,120.36,99.52,0,703,84.31
36528,119.82,100.9,0,710,85.18
36800,119.39,96.88,0,758,81.55
37072,117.49,95.92,0,697,82.5
37344,114.13,96.45,0,746,81.63
37616,116.83,94.29,0,817,79.81
37888,116.23,91.87,0,848,81.35
38160,115.55,94.91,0,797,80.8
38432,114.19,95.87,0,817,80.71
38704,114.55,94.87,0,814,80.13
38976,114.48,93.41,0,857,80.2
39248,111.82,90.14,0,956,70.77
39520,113.5,94.41,0,787,78.5
39792,117.75,96.81,0,820,81.4
40064,118.03,96.23,0,789,83.12
40336,116.18,97.65,0,850,80.92
40608,115.75,96.65,0,804,81.66
40880,115.31,95.48,0,858,81.23
41152,114.29,95.68,0,941,77.7
41424,113.91,95.08,0,918,78.35
41696,114.74,94.78,0,941,79.75
41968,112.41,93.79,0,952,77.28
42240,111.97,94.35,0,1025,78.78
42512,111.11,93.75,0,952,76.97
42784,108.43,90.78,0,1085,72.65
43056,109.28,93.87,0,947,77.01
43328,106.85,91.58,0,1055,74.37
43600,106.74,90.62,0,1046,72.95
43872,109.14,89.99,0,1035,75.68
44144,108.56,90.51,0,1081,68.76
44416,110.42,92.88,0,1131,68.72
44688,114.0,97.77,0,963,78.06
44960,112.08,96.1,0,1126,73.39
45232,110.91,97.39,0,1104,75.59
45504,107.39,97.72,0,1125,73.04
45776,108.24,96.44,0,1023,75.05
46048,107.24,94.45,0,1115,70.84
46320,105.79,94.84,0,1110,71.33
46592,106.41,93.23,0,1044,70.93
46864,104.32,91.95,0,1047,69.46
47136,106.48,90.74,0,1087,68.78
47408,101.03,91.32,0,978,67.56
47680,96.19,91.14,0,988,66.27
47952,96.64,89.68,0,978,69.81
48224,94.58,88.51,0,951,66.2
48496,96.23,88.88,0,990,69.65
48768,97.57,88.62,0,926,69.19
49040,104.27,94.89,0,751,77.79
49312,108.8,100.9,0,584,84.29
49584,109.89,98.5,0,603,82.76
49856,109.58,100.15,0,598,83.43
50128,112.85,99.71,0,581,85.66
50400,112.43,100.01,0,593,85.81
50672,108.4,99.15,0,725,83.11
50944,107.7,97.18,0,764,81.77
51216,105.42,94.32,0,784,79.49
51488,104.67,94.28,0,804,76.45
51760,106.09,94.99,0,721,79.37
52032,107.33,98.07,0,502,82.75
