,이전VDS,이후VDS,holiday,교통량,평균속도
267,100.36,96.13,0,129,104.35
539,106.53,103.53,0,121,109.23
811,101.89,99.18,0,112,109.86
1083,101.49,96.03,0,74,102.07
1355,101.03,96.0,0,84,102.6
1627,103.63,97.95,0,62,109.85
1899,92.61,91.51,0,58,98.27
2171,96.05,87.12,0,44,101.74
2443,92.28,93.34,0,51,100.38
2715,94.06,93.32,0,54,99.15
2987,94.38,92.42,0,48,99.41
3259,100.45,92.24,0,24,101.16
3531,100.65,96.65,0,37,106.55
3803,90.67,82.64,0,47,97.18
4075,94.16,83.51,0,26,97.02
4347,95.44,90.32,0,45,100.86
4619,92.95,86.54,0,41,96.88
4891,83.1,77.62,0,57,86.59
5163,96.42,93.27,0,64,97.36
5435,91.53,84.39,0,53,100.81
5707,97.41,90.24,0,84,99.86
5979,93.15,88.42,0,96,102.63
6251,96.09,90.18,0,147,98.61
6523,94.92,88.51,0,178,100.09
6795,98.65,92.8,0,197,103.08
7067,98.93,94.68,0,228,104.47
7339,97.24,95.24,0,291,100.73
7611,99.97,92.18,0,284,102.24
7883,103.18,99.16,0,263,106.69
8155,100.82,95.68,0,368,104.04
8427,103.15,99.38,0,424,105.6
8699,100.14,97.65,0,480,104.2
8971,101.83,96.74,0,481,104.7
9243,101.49,97.97,0,556,103.62
9515,98.9,90.83,0,510,100.14
9787,96.2,91.95,0,510,97.32
10059,98.35,92.31,0,435,100.35
10331,98.11,94.05,0,462,100.03
10603,96.74,91.76,0,462,99.05
10875,94.15,89.7,0,497,95.16
11147,95.41,89.07,0,452,98.1
11419,95.88,88.54,0,474,96.98
11691,96.8,91.79,0,474,98.61
11963,96.07,90.14,0,528,97.99
12235,97.16,92.63,0,430,99.22
12507,95.73,88.59,0,515,96.2
12779,97.2,89.61,0,496,97.36
13051,99.31,92.86,0,470,100.64
13323,99.09,92.41,0,499,100.76
13595,97.39,91.0,0,559,96.88
13867,99.78,92.46,0,483,101.16
14139,98.27,92.71,0,503,99.21
14411,97.93,93.1,0,503,98.88
14683,96.08,89.95,0,606,97.93
14955,94.1,87.74,0,563,95.13
15227,94.58,88.05,0,639,94.6
15499,96.06,90.97,0,613,96.78
15771,94.04,90.15,0,570,96.26
16043,93.94,87.39,0,658,94.37
16315,95.91,88.62,0,637,95.04
16587,93.31,87.23,0,611,93.12
16859,92.11,85.59,0,677,92.54
17131,95.76,87.78,0,626,95.16
17403,94.74,89.7,0,679,95.02
17675,96.33,91.2,0,638,94.43
17947,94.48,89.83,0,732,94.84
18219,93.01,88.22,0,740,92.77
18491,93.27,88.28,0,768,91.23
18763,94.98,89.77,0,817,94.28
19035,88.17,83.56,0,942,87.7
19307,90.01,85.4,0,963,89.33
19579,92.37,85.13,0,907,90.37
19851,91.64,90.51,0,898,92.16
20123,93.33,88.27,0,1020,89.54
20395,93.83,88.04,0,911,91.66
20667,96.26,91.65,0,786,93.41
20939,98.61,94.79,0,640,99.36
21211,95.04,91.09,0,690,93.32
21483,95.52,89.18,0,596,93.86
21755,92.45,88.22,0,530,92.1
22027,96.38,92.69,0,532,94.97
22299,93.2,90.39,0,562,92.51
22571,98.35,94.47,0,488,96.39
22843,98.24,92.72,0,393,95.61
23115,99.23,92.77,0,339,98.04
23387,100.39,93.53,0,356,98.97
23659,99.04,95.62,0,352,99.78
23931,98.49,92.59,0,272,96.83
24203,102.06,96.87,0,265,102.51
24475,100.46,95.31,0,256,103.15
24747,101.62,98.63,0,179,106.78
25019,106.79,101.06,0,164,109.57
25291,102.05,99.35,0,203,102.13
25563,100.24,97.46,0,174,103.44
25835,106.74,100.61,0,159,108.1
26107,101.88,98.33,0,140,106.5
26379,103.01,102.18,0,133,106.67
26651,100.33,96.4,0,121,100.13
26923,101.28,97.04,0,114,105.13
27195,101.78,95.13,0,90,100.71
27467,105.75,96.89,0,88,106.57
27739,98.01,93.21,0,73,99.46
28011,104.42,95.17,0,56,102.64
28283,102.13,90.74,0,68,97.17
28555,101.82,99.06,0,57,107.39
28827,104.02,94.95,0,54,106.96
29099,102.6,95.33,0,43,105.57
29371,95.03,89.39,0,42,97.71
29643,101.86,91.93,0,35,115.38
29915,93.65,85.34,0,47,94.93
30187,92.57,85.37,0,42,101.91
30459,89.47,86.0,0,48,92.9
30731,95.59,89.13,0,54,101.81
31003,96.86,90.46,0,58,100.01
31275,91.89,83.3,0,54,95.18
31547,92.73,85.46,0,59,98.08
31819,92.45,87.79,0,90,98.51
32091,94.89,90.99,0,105,101.51
32363,96.0,87.93,0,145,98.55
32635,95.32,86.76,0,148,100.25
32907,98.07,92.27,0,189,101.16
33179,97.82,91.73,0,228,101.91
33451,98.48,89.44,0,293,101.27
33723,102.23,96.05,0,265,106.13
33995,99.7,93.73,0,303,103.75
34267,99.5,94.15,0,412,101.85
34539,101.3,96.4,0,411,103.99
34811,102.68,97.81,0,460,105.05
35083,103.86,97.57,0,472,104.84
35355,98.64,94.69,0,553,101.29
35627,99.81,93.07,0,508,102.02
35899,98.03,92.37,0,489,99.98
36171,96.41,88.37,0,470,99.05
36443,95.26,90.31,0,501,95.93
36715,93.87,88.95,0,459,96.17
36987,94.44,87.49,0,461,96.68
37259,92.97,85.31,0,539,94.32
37531,96.09,89.07,0,481,97.12
37803,96.21,90.04,0,564,95.36
38075,95.4,90.11,0,537,95.91
38347,95.5,90.08,0,497,97.27
38619,94.71,90.03,0,565,96.87
38891,95.68,87.87,0,562,95.21
39163,93.73,88.75,0,609,94.33
39435,96.62,92.86,0,531,97.85
39707,96.96,91.8,0,553,96.79
39979,93.68,86.73,0,571,94.39
40251,95.79,91.56,0,592,96.41
40523,96.01,89.93,0,704,92.28
40795,94.34,88.14,0,705,93.37
41067,91.01,87.56,0,611,91.7
41339,93.68,87.52,0,645,93.6
41611,95.11,89.29,0,615,93.67
41883,90.92,86.63,0,700,91.35
42155,93.29,89.28,0,703,92.62
42427,93.48,86.34,0,651,93.1
42699,91.84,86.94,0,696,89.23
42971,90.92,86.84,0,652,92.78
43243,91.23,86.63,0,747,89.78
43515,92.23,86.72,0,717,90.83
43787,89.74,85.36,0,742,88.76
44059,92.06,88.32,0,843,89.79
44331,89.05,82.35,0,909,87.03
44603,88.48,82.92,0,945,85.12
44875,87.9,85.85,0,969,86.9
45147,85.84,85.12,0,1083,83.9
45419,79.7,76.09,0,1137,76.67
45691,87.12,86.47,0,1080,84.49
45963,86.84,84.48,0,1005,85.65
46235,88.14,84.14,0,1102,82.8
46507,92.25,86.93,0,988,89.48
46779,89.75,87.77,0,812,89.13
47051,92.38,89.49,0,860,89.78
47323,93.03,87.92,0,781,89.54
47595,91.71,85.43,0,716,87.78
47867,90.62,87.54,0,642,87.1
48139,87.79,85.0,0,744,82.97
48411,90.43,85.79,0,701,85.62
48683,94.94,89.27,0,608,90.8
48955,97.9,90.86,0,572,95.06
49227,98.8,92.39,0,514,92.96
49499,98.13,94.45,0,476,96.84
49771,100.04,95.28,0,425,98.92
50043,104.1,98.54,0,397,101.08
50315,101.99,95.5,0,377,101.37
50587,102.75,98.51,0,402,102.37
50859,104.45,99.59,0,357,104.03
51131,105.48,98.4,0,358,104.4
51403,100.65,97.51,0,297,101.9
51675,104.13,98.66,0,290,102.96
51947,102.54,97.52,0,275,104.99
52219,104.84,102.33,0,245,106.04
52491,103.53,98.36,1,226,104.14
52763,103.57,100.47,1,226,106.11
53035,102.53,97.49,1,171,102.1
53307,104.41,101.66,1,192,108.23
53579,102.14,99.46,1,167,105.58
53851,102.18,101.56,1,145,108.41
54123,107.05,100.94,1,151,107.2
54395,104.22,102.98,1,142,108.04
54667,106.09,102.79,1,112,108.59
54939,102.04,95.49,1,110,104.47
55211,94.62,91.26,1,78,101.6
55483,102.28,97.76,1,77,103.7
55755,97.83,97.46,1,66,104.94
56027,105.53,94.76,1,51,103.98
56299,97.49,91.2,1,58,99.21
56571,97.11,90.04,1,49,99.82
56843,94.2,97.07,1,52,106.57
57115,95.02,92.39,1,65,99.65
57387,96.23,90.55,1,79,98.4
57659,93.83,93.86,1,56,102.98
57931,93.43,92.72,1,106,97.1
58203,100.17,96.95,1,104,103.35
58475,98.76,96.85,1,141,105.04
58747,96.76,94.42,1,137,101.34
59019,98.63,95.11,1,135,101.08
59291,103.29,97.39,1,218,106.71
59563,100.76,96.2,1,193,103.83
59835,100.21,98.37,1,207,105.63
60107,99.58,95.95,1,182,105.84
60379,102.02,98.15,1,303,104.2
60651,101.88,97.06,1,251,103.72
60923,102.02,97.42,1,264,105.43
61195,104.16,98.73,1,295,104.41
61467,102.91,97.6,1,375,105.38
61739,103.29,99.06,1,401,104.57
62011,101.83,96.94,1,380,104.61
62283,100.85,89.94,1,358,102.91
62555,103.74,92.33,1,469,104.78
62827,102.84,95.98,1,467,103.77
63099,100.1,96.36,1,488,100.79
63371,100.48,95.75,1,490,102.14
63643,99.94,98.52,1,568,102.19
63915,95.15,93.29,1,621,96.65
64187,97.28,92.39,1,583,96.58
64459,95.06,89.29,1,666,96.12
64731,95.48,91.98,1,727,94.56
65003,94.23,87.98,1,746,93.35
65275,95.58,91.21,1,740,97.6
65547,94.42,89.81,1,695,94.55
65819,89.77,86.65,1,775,92.12
66091,93.4,86.59,1,808,91.27
66363,95.23,91.89,1,749,95.61
66635,95.49,89.83,1,782,93.16
66907,96.04,89.51,1,776,93.36
67179,96.09,87.29,1,785,92.92
67451,95.67,86.67,1,825,92.37
67723,94.79,88.69,1,853,90.48
67995,92.06,84.55,1,884,88.48
68267,92.39,86.24,1,830,88.76
68539,94.45,87.82,1,872,89.3
68811,97.71,90.46,1,755,93.22
69083,96.61,90.66,1,783,93.38
69355,94.07,88.38,1,780,89.79
69627,94.59,90.58,1,777,91.68
69899,94.19,87.99,1,808,90.71
70171,89.15,86.95,1,955,86.71
70443,90.85,86.47,1,902,86.43
70715,90.04,86.44,1,943,85.53
70987,90.96,85.62,1,888,87.67
71259,89.24,84.11,1,959,86.23
71531,91.35,87.55,1,868,88.24
71803,90.61,85.36,1,918,85.24
72075,94.51,89.98,1,901,90.36
72347,93.88,88.07,1,801,88.37
72619,95.02,91.65,1,829,90.01
72891,96.2,89.67,1,779,93.69
73163,95.7,93.16,1,713,93.26
73435,96.3,91.63,1,555,93.37
73707,92.03,86.49,1,581,88.56
