,이전VDS,이후VDS,holiday,교통량,평균속도
39,93.65,81.35,0,183,97.86
311,92.15,81.5,0,173,95.26
583,89.66,78.38,0,175,92.16
855,91.9,78.41,0,167,95.22
1127,92.53,81.18,0,152,96.13
1399,88.46,76.76,0,123,91.81
1671,86.13,77.32,0,132,89.31
1943,87.35,75.72,0,123,89.66
2215,90.25,75.19,0,121,91.47
2487,89.14,79.46,0,110,93.0
2759,86.17,74.75,0,105,87.97
3031,87.89,75.0,0,124,90.14
3303,86.78,72.08,0,105,86.52
3575,87.78,75.26,0,95,89.95
3847,89.06,75.89,0,111,92.52
4119,88.46,76.34,0,104,92.5
4391,89.43,77.21,0,108,95.24
4663,90.83,78.1,0,150,94.82
4935,89.55,79.65,0,123,94.63
5207,91.73,81.86,0,179,96.51
5479,91.18,81.6,0,197,96.78
5751,93.0,83.47,0,249,99.44
6023,96.18,87.47,0,278,101.51
6295,97.89,90.38,0,322,103.45
6567,96.67,90.64,0,361,104.49
6839,94.96,89.69,0,398,103.32
7111,94.75,86.48,0,494,101.76
7383,93.75,91.75,0,470,101.44
7655,96.63,87.07,0,616,102.18
7927,96.03,86.38,0,626,101.41
8199,94.42,86.89,0,658,100.54
8471,96.27,86.9,0,699,103.42
8743,97.15,85.73,0,689,102.04
9015,94.58,84.39,0,770,98.86
9287,97.12,84.87,0,752,100.33
9559,94.97,85.3,0,647,100.91
9831,93.51,81.62,0,832,97.29
10103,91.33,81.13,0,866,94.37
10375,89.75,80.85,0,945,94.9
10647,88.4,79.04,0,943,92.53
10919,87.38,77.91,0,970,91.37
11191,87.74,77.5,0,891,93.49
11463,87.47,79.31,0,884,93.02
11735,84.39,74.33,0,1083,89.08
12007,85.23,75.15,0,1036,90.96
12279,84.7,74.39,0,1025,90.55
12551,84.28,74.34,0,1086,89.75
12823,88.29,75.79,0,991,93.49
13095,88.17,78.84,0,952,92.98
13367,88.19,78.25,0,921,93.98
13639,88.75,77.64,0,981,93.82
13911,89.81,79.64,0,954,93.83
14183,90.79,80.73,0,959,95.16
14455,89.05,81.32,0,970,94.73
14727,89.76,78.27,0,988,94.03
14999,90.82,79.06,0,1027,93.64
15271,90.69,78.23,0,939,94.8
15543,87.44,79.14,0,954,93.89
15815,90.74,78.8,0,953,95.29
16087,87.36,76.49,0,1004,92.83
16359,88.85,78.38,0,987,93.72
16631,87.67,79.32,0,908,95.42
16903,87.65,79.7,0,863,95.04
17175,88.04,79.87,0,891,95.53
17447,86.91,79.93,0,951,94.48
17719,86.94,75.57,0,1094,90.18
17991,89.11,74.67,0,1066,89.67
18263,90.05,78.35,0,963,94.7
18535,92.86,80.32,0,922,95.32
18807,88.95,77.35,0,1039,93.39
19079,90.74,78.22,0,964,93.72
19351,90.61,80.59,0,887,97.07
19623,92.78,81.92,0,884,96.83
19895,93.53,85.25,0,773,99.8
20167,92.17,84.47,0,740,97.44
20439,93.29,85.31,0,663,98.54
20711,92.71,85.32,0,614,100.36
20983,95.28,84.82,0,519,100.54
21255,94.28,83.51,0,546,98.09
21527,91.26,78.38,0,594,94.69
21799,90.2,77.95,0,542,94.38
22071,91.18,79.42,0,475,95.11
22343,92.71,78.63,0,464,95.47
22615,92.39,79.33,0,514,95.03
22887,92.27,80.12,0,454,95.49
23159,91.91,78.85,0,453,95.04
23431,93.54,80.31,0,505,95.54
23703,92.45,80.71,0,446,94.16
23975,93.8,82.96,0,423,97.74
24247,92.4,81.53,0,406,97.26
24519,93.07,80.59,0,323,98.69
24791,93.86,81.43,0,296,101.91
25063,96.07,81.56,0,296,100.7
25335,95.29,84.06,0,264,99.9
25607,94.96,83.86,0,290,103.45
25879,97.16,85.48,0,228,102.49
26151,93.99,81.61,0,213,99.13
26423,94.55,82.9,0,191,98.69
26695,94.92,82.6,0,175,100.36
26967,91.18,79.9,0,164,95.58
27239,91.22,77.59,0,163,97.31
27511,91.99,80.42,0,143,96.38
27783,90.47,78.93,0,151,96.46
28055,90.4,79.98,0,129,95.8
28327,92.68,79.73,0,123,97.55
28599,90.45,75.05,0,109,91.22
28871,90.55,77.14,0,93,93.23
29143,88.72,78.17,0,130,93.1
29415,87.75,75.73,0,110,92.33
29687,89.41,76.75,0,106,93.74
29959,88.78,78.25,0,113,92.32
30231,88.28,75.89,0,117,90.97
30503,87.19,75.96,0,126,90.88
30775,88.97,80.04,0,125,93.04
31047,87.6,78.25,0,168,93.49
31319,88.63,77.07,0,174,95.16
31591,90.51,79.35,0,187,96.22
31863,92.77,81.58,0,248,99.46
32135,93.61,86.06,0,288,100.61
32407,94.42,89.59,0,336,102.94
32679,94.18,88.67,0,344,104.22
32951,94.97,90.23,0,423,102.58
33223,95.73,89.16,0,501,104.15
33495,94.41,89.99,0,566,102.53
33767,93.94,89.75,0,579,101.33
34039,93.25,86.08,0,670,100.8
34311,93.83,83.3,0,727,99.78
34583,93.89,86.62,0,755,99.78
34855,94.04,86.44,0,703,100.9
35127,94.82,86.16,0,705,101.68
35399,93.52,86.89,0,677,99.99
35671,95.12,84.07,0,775,100.28
35943,91.33,82.43,0,852,96.47
36215,87.58,81.2,0,839,83.9
36487,89.85,76.51,0,937,87.19
36759,88.03,78.45,0,956,93.52
37031,88.81,76.68,0,960,93.99
37303,89.05,76.85,0,1028,92.86
37575,87.3,76.76,0,954,92.63
37847,87.12,74.94,0,961,91.63
38119,84.79,71.65,0,1132,87.95
38391,84.61,69.61,0,1176,88.2
38663,86.96,74.87,0,1093,90.88
38935,85.76,75.85,0,1091,90.97
39207,88.61,77.3,0,1064,93.35
39479,87.32,76.09,0,1184,90.95
39751,89.26,76.12,0,1134,92.09
40023,87.92,76.18,0,1130,92.25
40295,87.47,76.09,0,1082,92.83
40567,86.7,72.79,0,1103,91.8
40839,85.29,73.6,0,1233,89.38
41111,86.69,70.66,0,1213,89.11
41383,90.77,74.69,0,1094,94.38
41655,88.56,79.88,0,1057,93.98
41927,86.28,79.59,0,1161,88.58
42199,84.48,75.69,0,1187,87.54
42471,80.62,75.6,0,1196,87.75
42743,84.38,70.2,0,1179,87.79
43015,84.69,43.45,0,1115,88.76
43287,82.77,40.99,0,1156,77.38
43559,83.4,35.25,0,1069,43.45
43831,48.05,41.86,0,1043,29.78
44103,35.97,40.36,0,1067,29.71
44375,31.8,49.02,0,1055,29.26
44647,35.75,49.48,0,1077,33.81
44919,42.62,39.65,0,1143,36.58
45191,45.83,43.39,0,1074,32.12
45463,32.7,46.21,0,1017,29.5
45735,33.41,62.73,0,1104,32.92
46007,45.05,42.84,0,1142,35.4
46279,40.03,31.07,0,1131,32.95
46551,32.83,51.49,0,956,27.91
46823,41.41,48.3,0,1119,33.96
47095,61.34,38.62,0,1084,31.53
47367,82.07,41.07,0,979,32.43
47639,83.24,38.45,0,962,55.55
47911,82.28,55.89,0,961,31.32
48183,82.92,57.28,0,991,37.55
48455,83.12,55.51,0,969,32.01
48727,84.53,39.39,0,919,68.81
48999,89.15,13.42,0,737,48.52
49271,52.89,14.62,0,506,19.16
49543,19.36,15.97,0,466,19.83
