,이전VDS,이후VDS,holiday,교통량,평균속도
120,91.62,88.1,0,67,90.88
392,96.38,92.12,0,59,92.8
664,90.41,84.86,0,56,86.05
936,89.76,84.76,0,53,86.34
1208,88.21,83.2,0,52,84.9
1480,86.48,83.14,0,55,83.99
1752,87.9,83.21,0,25,85.78
2024,87.5,82.5,0,35,83.77
2296,84.49,81.85,0,51,83.09
2568,84.79,80.16,0,55,83.17
2840,88.92,85.37,0,46,88.95
3112,87.96,82.2,0,50,85.18
3384,85.51,78.92,0,47,81.75
3656,82.34,79.84,0,48,80.22
3928,79.1,76.17,0,57,76.06
4200,82.57,79.65,0,60,76.71
4472,86.78,85.17,0,77,83.96
4744,82.45,77.86,0,84,78.88
5016,85.53,80.63,0,81,81.46
5288,86.47,84.0,0,81,81.64
5560,85.9,79.99,0,83,81.77
5832,85.12,81.14,0,84,79.72
6104,86.38,82.28,0,106,85.6
6376,89.61,85.01,0,106,85.57
6648,93.64,89.07,0,117,89.68
6920,91.04,86.23,0,98,87.14
7192,93.6,87.63,0,116,89.46
7464,98.38,92.92,0,118,93.55
7736,98.92,95.13,0,131,93.34
8008,103.08,97.96,0,139,99.23
8280,97.77,94.45,0,129,95.3
8552,101.73,98.38,0,167,99.91
8824,102.64,99.91,0,164,101.59
9096,106.98,103.56,0,160,105.19
9368,106.94,101.85,0,171,103.89
9640,107.28,101.38,0,157,103.87
9912,103.37,99.57,0,184,99.87
10184,102.21,97.97,0,223,100.3
10456,104.74,100.67,0,221,101.43
10728,103.15,99.01,0,229,101.64
11000,103.57,97.27,0,215,99.49
11272,104.62,100.42,0,262,102.0
11544,99.65,96.84,0,214,98.85
11816,102.9,98.56,0,270,101.54
12088,106.87,101.35,0,253,102.81
12360,106.25,103.73,0,244,103.92
12632,103.37,99.19,0,256,100.61
12904,102.59,97.68,0,251,99.86
13176,105.28,100.32,0,253,103.25
13448,105.69,99.4,0,206,101.95
13720,105.44,101.2,0,263,102.34
13992,102.94,98.24,0,255,101.06
14264,104.57,99.95,0,275,101.77
14536,105.67,100.34,0,244,102.84
14808,104.6,100.13,0,267,102.78
15080,103.09,98.11,0,245,98.85
15352,102.56,99.77,0,293,100.82
15624,99.86,98.08,0,508,97.39
15896,99.1,94.54,0,491,94.43
16168,107.78,102.21,0,241,105.54
16440,106.1,104.63,0,305,104.23
16712,107.39,104.49,0,313,105.19
16984,105.68,102.7,0,360,103.42
17256,103.93,101.7,0,340,102.4
17528,104.81,100.96,0,311,101.75
17800,105.77,101.85,0,335,99.66
18072,105.83,102.24,0,310,103.4
18344,105.01,101.16,0,310,102.13
18616,107.54,109.63,0,337,104.55
18888,108.23,102.79,0,300,103.89
19160,103.83,109.26,0,334,100.25
19432,105.03,104.58,0,300,102.75
19704,103.32,104.64,0,329,100.75
19976,104.49,103.15,0,294,102.9
20248,106.01,102.8,0,298,103.46
20520,104.2,100.1,0,273,102.05
20792,99.64,97.21,0,235,97.82
21064,100.88,95.62,0,185,96.9
21336,99.95,98.68,0,226,98.14
21608,96.39,92.84,0,214,93.55
21880,99.02,96.83,0,177,98.02
22152,100.83,96.12,0,209,97.68
22424,99.58,97.87,0,146,96.37
22696,97.23,94.86,0,172,94.69
22968,98.33,94.23,0,156,94.73
23240,93.08,90.14,0,153,91.17
23512,97.86,94.17,0,140,92.52
23784,95.89,89.04,0,130,92.63
24056,99.03,94.7,0,118,93.54
24328,96.74,94.68,0,116,93.57
24600,95.47,91.73,0,88,94.73
24872,92.73,88.68,0,111,87.17
25144,96.95,94.86,0,107,92.72
25416,95.67,93.35,0,78,92.95
25688,90.59,88.94,0,82,89.18
25960,92.58,88.64,0,75,92.06
26232,96.07,90.24,0,63,92.14
26504,93.84,86.49,0,60,88.91
26776,93.29,90.41,0,70,89.1
27048,95.13,90.25,0,55,95.5
27320,94.61,89.5,0,50,94.18
27592,89.16,84.4,0,50,85.19
27864,86.76,82.77,0,51,82.54
28136,84.88,80.72,0,45,81.98
28408,84.09,80.75,0,35,82.8
28680,86.57,78.77,0,41,82.29
28952,87.67,80.37,0,45,83.69
29224,88.01,81.96,0,54,83.82
29496,85.83,83.84,0,48,84.14
29768,81.87,79.59,0,64,80.2
30040,83.83,79.91,0,43,82.05
30312,86.18,80.89,0,42,82.01
30584,86.4,82.05,0,66,81.33
30856,85.91,83.49,0,63,80.83
31128,84.23,80.41,0,78,81.68
31400,90.56,85.44,0,70,85.38
31672,83.34,78.56,0,89,79.53
31944,86.3,84.18,0,87,81.85
32216,89.31,86.05,0,85,84.21
32488,87.58,85.01,0,92,85.01
32760,92.08,85.8,0,103,88.74
33032,97.0,93.18,0,72,95.97
33304,94.7,91.06,0,96,91.24
33576,99.26,96.1,0,127,93.33
33848,98.4,95.18,0,123,95.75
34120,101.67,97.9,0,119,97.39
34392,103.75,99.1,0,139,100.97
34664,104.94,101.13,0,149,102.11
34936,105.91,99.57,0,153,102.57
35208,105.98,102.69,0,141,103.44
35480,108.45,102.37,0,185,106.16
35752,109.27,105.51,0,146,107.18
36024,109.21,107.98,0,179,107.33
36296,104.53,99.21,0,209,102.0
36568,107.93,104.43,0,230,104.97
36840,106.94,100.77,0,238,103.25
37112,104.73,99.98,0,268,101.6
37384,106.66,102.0,0,253,103.54
37656,104.38,100.05,0,249,102.04
37928,107.02,102.55,0,311,104.36
38200,104.97,100.4,0,329,101.14
38472,105.02,102.27,0,300,103.21
38744,103.72,97.39,0,305,99.53
39016,103.56,99.86,0,275,100.17
39288,105.93,100.24,0,284,102.57
39560,104.84,97.82,0,265,100.45
39832,106.24,101.84,0,280,104.2
40104,100.84,97.77,0,494,97.86
40376,103.24,98.44,0,362,100.16
40648,104.37,100.59,0,357,101.09
40920,100.32,98.95,0,343,97.91
41192,106.83,103.65,0,317,105.01
41464,106.85,101.54,0,401,103.24
41736,106.18,103.12,0,329,104.01
42008,107.58,105.34,0,383,105.13
42280,106.26,103.91,0,373,103.18
42552,108.2,105.9,0,395,106.08
42824,108.32,105.23,0,452,106.45
43096,109.84,105.77,0,392,107.17
43368,109.59,105.94,0,435,106.74
43640,108.17,104.68,0,447,105.26
43912,108.91,106.52,0,418,106.27
44184,108.5,105.14,0,431,105.93
44456,107.79,105.17,0,406,104.56
44728,108.85,106.63,0,463,105.03
45000,109.1,105.36,0,450,105.49
45272,110.41,107.45,0,435,108.56
45544,109.21,106.06,0,426,106.65
45816,109.16,108.49,0,394,107.89
46088,110.8,109.11,0,403,109.47
46360,111.03,107.61,0,356,108.98
46632,109.32,106.32,0,358,107.85
46904,111.3,107.93,0,339,109.15
47176,109.99,108.79,0,310,108.56
47448,105.73,105.32,0,391,103.7
47720,105.73,105.12,0,376,105.41
47992,106.67,104.9,0,349,106.24
48264,104.25,104.17,0,366,103.13
48536,106.05,105.69,0,335,105.19
48808,105.83,105.79,0,292,105.59
49080,104.28,103.22,0,301,103.8
49352,103.84,102.86,0,305,102.72
49624,104.7,102.7,0,283,102.66
49896,104.66,103.08,0,216,102.93
50168,103.26,100.61,0,179,102.2
50440,103.45,99.61,0,212,102.89
50712,102.87,100.66,0,199,102.25
50984,104.68,101.97,0,154,100.3
51256,102.87,103.37,0,162,102.03
51528,106.47,102.89,0,150,103.52
51800,105.41,103.61,0,167,104.16
52072,105.84,102.59,0,143,103.26
52344,105.51,102.48,1,162,102.55
52616,101.51,99.6,1,121,100.14
52888,102.85,96.55,1,122,98.39
53160,96.4,90.56,1,60,94.4
53432,96.24,92.88,1,71,95.52
53704,95.97,92.09,1,62,93.76
53976,98.6,92.15,1,65,94.54
54248,99.38,95.12,1,48,96.7
54520,94.41,88.98,1,48,92.17
54792,93.05,90.69,1,79,92.7
55064,92.0,85.84,1,52,88.44
55336,93.38,89.02,1,37,90.27
55608,97.38,91.72,1,38,93.48
55880,94.18,85.54,1,39,90.0
56152,88.17,88.51,1,36,83.19
56424,89.55,85.61,1,33,84.33
56696,92.43,92.18,1,37,87.41
56968,89.82,87.29,1,46,86.02
57240,92.6,87.04,1,55,89.44
57512,92.22,90.55,1,48,89.29
57784,93.03,91.0,1,61,92.01
58056,91.31,88.65,1,51,89.29
58328,97.38,94.15,1,67,97.1
58600,99.9,97.84,1,65,95.85
58872,102.09,99.32,1,82,100.42
59144,101.74,98.28,1,85,97.96
59416,107.4,104.68,1,97,105.77
59688,103.45,99.02,1,112,101.2
59960,109.5,106.03,1,122,109.2
60232,111.9,108.76,1,131,111.39
60504,112.58,107.3,1,144,107.8
60776,110.34,107.93,1,174,108.83
61048,112.25,111.13,1,205,110.54
61320,111.04,107.05,1,197,108.64
61592,111.29,107.92,1,229,108.54
61864,111.53,107.43,1,268,108.71
62136,113.5,109.72,1,316,110.62
62408,115.17,110.49,1,291,112.33
62680,111.33,106.95,1,332,108.15
62952,111.35,109.31,1,328,110.32
63224,110.16,107.34,1,361,107.73
63496,110.75,107.13,1,361,108.96
63768,111.81,109.15,1,388,109.61
64040,111.61,108.75,1,446,109.1
64312,110.15,107.11,1,423,108.45
64584,111.87,106.67,1,441,109.81
64856,114.21,109.51,1,322,111.84
65128,113.92,110.3,1,347,110.67
65400,113.46,109.06,1,374,110.87
65672,114.1,110.84,1,386,113.0
65944,112.04,108.26,1,353,109.77
66216,112.66,109.66,1,426,110.91
66488,113.2,108.44,1,418,109.35
66760,113.28,110.24,1,384,112.93
67032,112.46,108.78,1,382,111.06
67304,111.85,108.24,1,362,109.23
67576,113.45,108.88,1,343,111.78
67848,112.61,108.76,1,375,110.04
68120,111.04,108.17,1,371,108.32
68392,110.84,107.82,1,407,109.32
68664,111.61,109.0,1,416,109.68
68936,111.16,108.0,1,423,108.09
69208,112.32,107.44,1,385,109.76
69480,112.74,108.06,1,400,110.73
69752,111.06,108.51,1,385,108.97
70024,112.28,109.11,1,418,110.75
70296,114.43,111.05,1,375,112.14
70568,112.21,108.4,1,378,109.57
70840,116.75,111.86,1,343,113.64
71112,114.36,111.14,1,336,112.27
71384,112.92,108.61,1,305,110.4
71656,115.22,112.12,1,279,113.64
71928,113.1,110.08,1,270,110.45
72200,113.85,109.47,1,256,110.61
72472,114.34,111.81,1,269,112.16
72744,115.2,112.38,1,262,112.91
73016,113.81,112.41,1,285,114.03
73288,115.52,109.89,1,253,113.84
73560,107.1,105.57,1,229,106.51
73832,107.76,105.08,1,209,107.83
74104,106.42,105.75,1,212,105.6
74376,107.55,104.41,1,202,105.59
74648,106.29,104.15,1,184,105.6
