,이전VDS,이후VDS,holiday,교통량,평균속도
58,111.6,84.17,0,264,111.51
330,107.89,86.6,0,171,115.77
602,104.75,85.99,0,159,117.91
874,104.38,85.96,0,153,111.75
1146,109.73,84.31,0,179,112.36
1418,105.42,84.85,0,123,110.48
1690,105.03,86.83,0,108,113.63
1962,103.29,84.79,0,145,105.22
2234,101.96,86.33,0,113,108.8
2506,100.54,82.91,0,119,108.49
2778,112.16,85.66,0,104,109.11
3050,111.76,84.21,0,86,116.27
3322,105.07,85.0,0,95,109.75
3594,103.77,85.29,0,85,116.9
3866,108.91,82.59,0,82,112.4
4138,104.93,85.49,0,112,108.93
4410,109.29,83.21,0,85,115.15
4682,105.77,87.19,0,80,107.74
4954,109.48,85.09,0,112,107.7
5226,103.41,83.9,0,114,113.76
5498,111.06,84.6,0,110,110.67
5770,108.43,85.92,0,168,112.9
6042,98.05,85.79,0,186,114.69
6314,103.24,89.78,0,245,119.03
6586,104.27,88.43,0,216,113.78
6858,102.99,90.17,0,319,120.21
7130,106.91,89.82,0,355,120.92
7402,105.2,89.9,0,420,113.92
7674,105.62,88.7,0,353,118.18
7946,107.13,89.98,0,582,112.27
8218,106.79,90.27,0,607,112.95
8490,107.56,90.65,0,650,111.8
8762,107.06,90.08,0,588,111.66
9034,107.78,90.69,0,679,113.4
9306,104.95,90.88,0,725,110.62
9578,105.28,90.62,0,770,109.4
9850,102.18,91.11,0,668,112.2
10122,102.99,90.94,0,787,106.83
10394,100.72,89.66,0,799,103.68
10666,100.32,88.84,0,900,101.6
10938,95.85,87.36,0,815,105.71
11210,97.57,88.65,0,913,98.83
11482,97.28,87.88,0,970,97.0
11754,98.15,87.02,0,848,99.7
12026,97.09,87.25,0,1008,96.31
12298,97.17,86.78,0,1080,92.63
12570,96.97,86.97,0,1022,91.6
12842,97.4,87.92,0,957,95.02
13114,97.5,86.5,0,1026,95.34
13386,94.99,88.46,0,922,95.54
13658,98.13,88.46,0,998,95.75
13930,100.79,87.86,0,944,99.46
14202,98.87,88.2,0,931,95.22
14474,100.0,88.0,0,962,98.85
14746,99.26,87.52,0,1052,96.87
15018,100.98,88.24,0,1026,98.06
15290,100.55,88.26,0,931,100.37
15562,97.55,87.77,0,973,95.49
15834,97.18,88.83,0,935,98.85
16106,95.75,87.19,0,1035,96.9
16378,98.16,87.46,0,982,95.92
16650,98.24,88.21,0,1046,96.67
16922,97.78,86.51,0,942,100.57
17194,97.31,87.89,0,1003,97.9
17466,96.46,86.01,0,1039,97.82
17738,94.32,85.15,0,1097,94.08
18010,98.45,85.11,0,1117,95.99
18282,98.42,87.63,0,1076,95.77
18554,97.69,87.61,0,1069,95.8
18826,100.22,88.06,0,1046,98.52
19098,99.2,89.18,0,942,101.25
19370,101.44,88.62,0,878,98.67
19642,101.34,88.98,0,1032,99.0
19914,104.0,89.51,0,632,104.0
20186,102.94,91.32,0,572,104.0
20458,100.94,90.28,0,612,104.0
20730,98.18,88.35,0,680,104.0
21002,98.92,88.72,0,523,104.0
21274,100.25,89.07,0,507,104.0
21546,106.65,88.62,0,463,104.0
21818,105.11,89.1,0,556,104.0
22090,104.6,88.53,0,442,104.0
22362,104.59,89.61,0,430,104.0
22634,104.96,88.85,0,413,104.0
22906,107.14,88.12,0,423,104.0
23178,106.15,89.77,0,388,104.0
23450,105.0,89.01,0,363,104.0
23722,104.75,89.99,0,380,104.43
23994,106.87,89.06,0,357,104.48
24266,107.63,89.68,0,346,105.33
24538,104.07,87.96,0,314,104.62
24810,107.22,90.21,0,289,104.54
25082,106.65,88.08,0,336,106.08
25354,105.25,89.47,0,240,110.48
25626,109.45,89.88,0,226,110.48
25898,108.36,88.84,0,219,110.17
26170,106.26,88.26,0,217,110.17
26442,107.3,89.9,0,163,110.0
26714,108.65,87.73,0,150,110.21
26986,105.22,86.3,0,140,109.99
27258,102.5,86.95,0,140,109.6
27530,101.37,84.59,0,122,108.0
27802,104.16,83.31,0,112,108.0
28074,110.48,86.1,0,99,108.0
28346,105.27,85.32,0,112,108.0
28618,101.38,86.54,0,100,108.0
28890,98.29,84.08,0,87,108.0
29162,103.07,82.77,0,68,108.0
29434,99.46,85.92,0,101,108.6
29706,99.98,85.47,0,93,111.7
29978,101.6,81.51,0,89,110.9
30250,99.14,82.96,0,91,110.0
30522,102.32,83.17,0,83,111.53
30794,100.11,80.18,0,109,107.98
31066,101.28,85.62,0,84,106.65
31338,105.4,85.16,0,114,106.09
31610,106.89,87.4,0,115,109.21
31882,106.29,86.2,0,186,107.22
32154,101.05,84.24,0,193,107.86
32426,103.29,88.37,0,234,108.33
32698,105.04,88.75,0,205,108.76
32970,106.69,89.21,0,274,110.0
33242,105.6,89.85,0,290,110.43
33514,107.71,91.05,0,365,112.2
33786,105.15,89.4,0,311,111.33
34058,103.88,89.49,0,470,116.24
34330,104.54,89.96,0,476,116.0
34602,103.78,90.2,0,510,116.0
34874,104.84,90.35,0,515,116.46
35146,103.04,89.7,0,563,117.0
35418,101.25,90.08,0,565,117.41
35690,101.79,90.37,0,564,117.0
35962,101.78,89.27,0,592,117.0
36234,102.07,89.3,0,613,117.0
36506,99.83,88.94,0,592,117.0
36778,98.9,89.09,0,641,117.0
