,이전VDS,이후VDS,holiday,교통량,평균속도
2,98.52,96.87,0,350,94.34
274,99.53,99.4,0,350,95.37
546,103.26,98.51,0,296,92.51
818,95.0,98.88,0,253,97.05
1090,96.26,97.9,0,244,94.13
1362,98.52,97.01,0,223,93.5
1634,97.15,97.8,0,208,91.59
1906,98.34,96.59,0,189,90.85
2178,103.85,98.67,0,156,91.24
2450,103.38,98.54,0,152,91.83
2722,98.75,96.49,0,143,92.26
2994,96.15,96.87,0,113,90.45
3266,103.16,93.74,0,124,89.66
3538,95.5,95.95,0,143,89.13
3810,97.93,95.78,0,122,88.9
4082,98.48,97.29,0,164,87.76
4354,95.36,97.56,0,173,88.57
4626,96.26,97.6,0,169,89.29
4898,99.76,96.38,0,194,89.26
5170,94.53,96.92,0,329,86.26
5442,97.92,97.84,0,369,87.43
5714,92.25,95.85,0,535,86.7
5986,91.2,86.52,0,730,84.87
6258,86.66,83.64,0,963,82.67
6530,84.61,79.11,0,909,81.91
6802,79.11,72.93,0,1053,81.17
7074,80.59,69.93,0,1147,75.46
7346,84.84,69.74,0,1214,74.79
7618,84.4,130.73,0,948,111.17
7890,83.33,139.43,0,946,105.29
8162,80.78,99.42,0,886,113.28
8434,82.84,99.42,0,858,99.61
8706,83.51,99.42,0,896,109.87
8978,82.28,99.42,0,881,113.85
9250,82.09,99.42,0,893,107.11
9522,84.88,99.42,0,838,102.47
9794,84.85,99.42,0,815,112.36
10066,76.47,99.42,0,679,94.06
10338,79.66,99.42,0,794,92.23
10610,89.02,99.42,0,688,95.87
10882,82.17,99.42,0,712,87.7
11154,59.24,99.42,0,681,98.67
11426,38.23,99.42,0,738,94.81
11698,28.3,99.42,0,742,89.99
11970,35.04,99.42,0,758,90.43
12242,37.92,99.42,0,761,102.85
12514,29.43,99.42,0,759,108.35
12786,41.29,99.42,0,769,117.04
13058,61.85,99.42,0,741,124.57
13330,44.84,99.42,0,833,97.015
13602,41.85,99.42,0,769,134.79
13874,32.35,99.42,0,800,127.98
14146,34.19,99.42,0,782,117.57
14418,64.27,99.42,0,780,114.62
14690,93.05,99.42,0,809,116.47
14962,86.36,99.42,0,763,97.015
15234,77.17,99.42,0,817,109.51
15506,78.85,99.42,0,823,111.29
15778,85.33,99.42,0,814,112.73
16050,92.74,99.42,0,778,104.69
16322,90.9,99.42,0,722,105.38
16594,87.68,99.42,0,637,99.62
16866,88.83,99.42,0,820,103.71
17138,84.43,99.42,0,811,119.17
17410,81.25,99.42,0,881,139.78
17682,73.62,99.42,0,823,119.0
17954,72.29,99.42,0,874,112.83
18226,92.0,99.42,0,856,110.02
18498,92.65,99.42,0,300,81.17
18770,90.63,99.42,0,623,98.41
19042,87.51,99.42,0,370,82.13
19314,80.15,99.42,0,499,91.56
19586,48.15,99.42,0,831,97.015
19858,32.45,99.42,0,856,97.015
20130,22.36,99.42,0,905,97.015
20402,22.67,99.42,0,863,97.015
20674,27.86,99.42,0,835,97.015
20946,21.94,99.42,0,820,97.015
21218,24.61,99.42,0,786,97.015
21490,22.52,99.42,0,775,97.015
21762,22.55,99.42,0,792,97.015
22034,21.66,99.42,0,793,97.015
22306,35.05,99.42,0,799,133.67
22578,78.76,99.42,0,847,97.015
22850,83.52,86.7,0,790,79.64
23122,89.47,88.46,0,710,79.23
23394,91.79,90.11,0,760,80.01
23666,93.26,90.37,0,724,80.52
23938,87.82,91.76,0,609,79.73
24210,89.6,89.7,0,709,83.6
24482,90.63,92.56,0,647,86.23
24754,94.92,93.7,0,628,89.19
25026,96.96,96.95,0,465,90.31
25298,93.89,96.44,0,464,90.22
25570,91.64,94.86,0,448,89.93
25842,98.4,96.37,0,449,93.01
26114,99.26,97.94,0,361,92.38
26386,97.52,98.83,0,349,93.84
26658,97.4,97.06,0,278,91.55
26930,100.64,96.97,0,272,94.32
27202,98.06,96.89,0,270,94.17
27474,100.53,97.97,0,201,93.2
27746,100.38,98.13,0,208,94.29
28018,101.16,97.86,0,193,92.52
28290,94.42,97.61,0,156,93.68
28562,99.26,96.99,0,194,91.53
28834,99.95,96.71,0,156,90.02
29106,103.95,95.98,0,130,93.55
29378,96.69,97.39,0,140,89.95
29650,95.31,97.34,0,126,91.5
29922,98.96,96.61,0,158,91.8
30194,97.1,95.8,0,154,88.46
30466,98.26,98.19,0,133,87.07
30738,95.83,96.97,0,177,91.47
31010,100.25,99.48,0,260,89.61
31282,96.13,96.98,0,291,86.5
31554,94.13,95.99,0,327,87.57
31826,93.32,96.38,0,483,85.67
32098,90.6,87.91,0,665,85.47
32370,90.66,87.81,0,723,86.41
32642,84.4,83.96,0,871,82.49
32914,82.37,78.58,0,887,80.92
33186,82.31,72.75,0,1047,76.18
33458,84.4,76.03,0,1138,75.8
33730,77.61,99.42,0,954,118.62
34002,72.72,99.42,0,829,99.94
34274,52.81,99.42,0,905,114.27
34546,43.84,99.42,0,804,95.98
34818,43.85,99.42,0,778,108.53
35090,72.89,99.42,0,767,98.46
35362,79.3,99.42,0,737,92.23
35634,63.28,99.42,0,801,102.44
35906,61.97,99.42,0,766,96.44
36178,39.93,99.42,0,547,85.63
36450,80.68,99.42,0,812,111.22
36722,66.53,99.42,0,710,96.0
36994,73.02,99.42,0,654,106.64
37266,49.26,99.42,0,699,94.65
37538,35.72,99.42,0,630,88.36
37810,37.14,99.42,0,825,101.06
38082,40.06,99.42,0,746,107.47
38354,29.94,99.42,0,729,99.2
38626,36.84,99.42,0,668,91.44
38898,27.33,99.42,0,822,113.42
39170,32.81,99.42,0,787,114.35
39442,27.32,99.42,0,766,107.61
39714,24.31,99.42,0,780,110.1
39986,31.68,99.42,0,724,111.84
40258,33.83,99.42,0,672,112.48
40530,26.95,99.42,0,717,109.23
40802,32.52,99.42,0,755,108.65
41074,32.98,99.42,0,731,108.83
41346,34.08,99.42,0,737,110.99
41618,34.42,99.42,0,649,102.22
41890,32.94,99.42,0,693,112.6
42162,29.82,99.42,0,753,106.66
42434,30.02,99.42,0,714,105.07
42706,28.04,99.42,0,738,112.33
42978,23.58,99.42,0,675,95.25
43250,27.38,99.42,0,776,108.41
43522,26.38,99.42,0,774,108.52
43794,25.48,99.42,0,723,117.29
44066,26.82,99.42,0,741,102.28
44338,27.98,99.42,0,766,107.3
44610,28.96,99.42,0,740,103.28
44882,27.17,99.42,0,794,123.24
45154,25.75,99.42,0,794,124.27
45426,25.99,99.42,0,763,132.81
45698,24.13,99.42,0,760,97.015
45970,25.19,99.42,0,825,97.015
46242,23.78,99.42,0,814,97.015
46514,19.63,99.42,0,846,97.015
46786,26.52,99.42,0,782,132.73
47058,25.41,99.42,0,804,121.46
47330,25.1,99.42,0,743,112.96
47602,31.48,99.42,0,733,122.24
47874,24.2,99.42,0,733,123.76
48146,20.22,99.42,0,769,128.85
48418,24.4,99.42,0,709,123.13
48690,23.97,99.42,0,765,122.3
48962,29.81,72.73,0,848,58.21
49234,26.14,75.04,0,741,58.57
49506,31.75,74.05,0,773,53.72
49778,62.79,75.1,0,830,53.01
50050,84.32,76.56,0,861,56.22
50322,91.61,84.28,0,764,60.23
50594,92.03,91.0,0,560,64.41
50866,95.56,91.43,0,614,85.91
51138,90.97,92.69,0,621,85.22
51410,86.62,91.37,0,575,88.11
51682,89.63,91.48,0,544,89.28
51954,82.28,94.14,0,509,88.4
52226,88.69,94.37,1,367,91.72
52498,90.63,97.27,1,413,93.33
52770,95.73,98.54,1,383,91.6
53042,96.29,97.88,1,359,94.16
53314,97.08,96.47,1,232,86.37
53586,98.43,98.89,1,41,87.77
53858,96.29,97.91,1,70,91.81
54130,97.64,99.51,1,50,99.93
54402,101.48,98.47,1,20,97.31
54674,105.29,99.13,1,31,91.43
54946,103.34,99.29,1,24,93.33
55218,99.8,97.18,1,19,94.22
55490,98.26,97.76,1,12,92.77
55762,97.44,99.41,1,16,88.66
56034,99.34,98.06,1,19,85.23
56306,97.0,98.72,1,14,85.83
56578,92.4,95.36,1,28,77.16
56850,90.13,93.09,1,7,78.25
57122,75.45,90.21,1,30,86.22
57394,78.44,81.19,1,84,79.32
57666,71.18,69.48,1,40,66.53
57938,65.67,66.48,1,94,75.69
58210,57.76,73.02,1,79,70.01
58482,59.36,66.18,1,131,79.21
58754,72.25,58.22,1,220,80.32
59026,79.67,66.05,1,295,80.74
59298,84.33,73.39,1,199,81.34
59570,65.29,69.89,1,166,75.9
59842,45.14,111.83,1,290,90.75
60114,61.41,120.38,1,219,114.31
60386,58.56,126.83,1,275,97.015
60658,44.54,103.06,1,220,132.63
60930,22.6,116.3,1,250,137.25
61202,44.56,112.8,1,107,137.84
61474,89.91,118.16,1,191,97.015
61746,91.07,119.66,1,195,97.015
62018,75.74,139.38,1,36,97.015
62290,64.77,99.42,1,69,121.47
62562,65.92,99.42,1,54,116.51
62834,74.82,99.42,1,62,122.97
63106,68.26,99.42,1,76,89.19
63378,66.01,99.42,1,71,78.72
63650,60.03,99.42,1,91,98.29
63922,21.59,125.93,1,97,133.78
64194,29.19,99.42,1,47,102.05
64466,77.93,99.42,1,46,106.52
64738,83.98,99.42,1,38,59.56
65010,79.07,99.42,1,63,103.01
65282,47.58,99.42,1,32,61.36
65554,28.77,99.42,1,76,113.21
65826,27.21,99.42,1,204,134.64
66098,21.57,99.42,1,279,108.31
66370,30.14,99.42,1,186,112.03
66642,79.5,99.42,1,221,120.16
66914,89.34,99.42,1,321,139.41
67186,86.14,99.42,1,333,117.73
67458,77.74,99.42,1,353,97.015
67730,88.54,99.42,1,329,97.015
68002,85.68,99.42,1,350,97.015
68274,84.94,99.42,1,322,127.61
68546,83.47,99.42,1,355,114.48
68818,88.96,99.42,1,213,103.29
69090,90.44,0.0,1,318,115.97
69362,91.53,99.42,1,103,97.015
69634,89.19,0.0,1,296,133.11
69906,86.98,0.0,1,581,123.19
70178,91.12,0.0,1,699,114.62
70450,92.99,0.0,1,757,113.3
70722,88.88,0.0,1,784,115.26
70994,90.31,0.0,1,810,130.39
71266,90.8,0.0,1,693,119.86
71538,89.35,0.0,1,863,122.41
71810,89.23,0.0,1,830,97.015
72082,89.16,0.0,1,857,97.015
72354,92.82,0.0,1,805,97.015
72626,91.68,0.0,1,751,97.015
72898,87.87,0.0,1,732,136.29
73170,96.89,0.0,1,669,97.015
73442,93.29,0.0,1,570,97.015
73714,93.67,0.0,1,645,97.015
73986,87.6,0.0,1,589,97.015
74258,83.19,0.0,1,555,97.015
74530,90.66,0.0,1,638,97.015
74802,91.79,0.0,1,660,97.015
75074,91.32,0.0,1,687,77.86
75346,91.66,0.0,1,698,81.12
75618,92.8,0.0,1,610,78.81
75890,94.09,0.0,1,619,82.16
76162,94.12,0.0,1,604,84.05
76434,93.97,0.0,1,562,84.03
76706,95.83,0.0,1,609,86.64
76978,99.46,0.0,1,491,87.63
77250,99.25,0.0,1,441,91.48
77522,100.69,0.0,1,428,93.3
77794,100.7,0.0,1,335,91.84
78066,102.09,0.0,1,349,93.28
78338,101.83,0.0,1,304,95.87
78610,98.77,0.0,1,218,96.45
78882,108.6,0.0,1,235,96.4
79154,107.27,0.0,1,203,97.16
79426,109.92,0.0,1,151,97.25
79698,111.36,0.0,1,164,98.46
79970,104.35,0.0,1,155,97.42
80242,105.21,0.0,1,114,97.51
80514,117.35,0.0,1,62,98.55
80786,106.88,0.0,1,136,99.75
81058,107.52,0.0,1,111,97.26
81330,111.12,0.0,1,115,98.44
81602,109.96,0.0,1,110,98.66
81874,105.27,0.0,1,112,96.02
82146,107.58,0.0,1,99,95.26
82418,109.72,0.0,1,118,93.25
82690,108.47,0.0,1,119,96.13
82962,103.98,0.0,1,140,94.25
83234,108.66,0.0,1,171,95.7
83506,105.7,0.0,1,200,94.57
83778,105.9,0.0,1,262,92.9
84050,104.12,0.0,1,340,94.6
84322,105.04,0.0,1,401,93.75
84594,102.76,0.0,1,454,96.77
84866,102.5,0.0,1,470,97.46
85138,103.6,0.0,1,470,97.57
85410,98.73,0.0,1,537,93.73
85682,99.4,0.0,1,557,94.42
85954,97.41,0.0,1,597,97.015
86226,96.63,0.0,1,601,97.015
86498,94.76,0.0,1,573,97.015
86770,95.09,0.0,1,568,97.015
87042,96.67,0.0,1,608,97.015
87314,90.39,0.0,1,581,97.015
87586,91.39,0.0,1,572,97.015
87858,90.65,0.0,1,676,97.015
88130,94.23,0.0,1,665,97.015
88402,92.81,0.0,1,762,97.015
88674,92.85,0.0,1,721,97.015
88946,90.51,0.0,1,571,122.05
89218,90.5,0.0,1,394,95.12
89490,87.11,0.0,1,341,98.27
89762,89.16,0.0,1,386,95.94
90034,87.87,0.0,1,318,99.27
90306,81.61,0.0,1,593,108.07
90578,86.05,0.0,1,790,120.71
90850,88.08,0.0,1,826,127.68
91122,89.16,0.0,1,774,138.38
91394,90.2,0.0,1,654,97.015
91666,95.47,0.0,1,11,124.15
91938,93.6,0.0,1,25,82.33
92210,88.44,0.0,1,31,76.28
92482,89.17,0.0,1,67,91.46
92754,96.3,0.0,1,165,87.32
93026,93.54,0.0,1,469,111.27
93298,82.35,0.0,1,602,112.11
93570,84.9,0.0,1,695,109.6
93842,85.11,0.0,1,763,106.99
94114,89.71,0.0,1,785,121.06
94386,106.9,0.0,1,664,119.25
94658,91.05,0.0,1,573,97.015
94930,61.36,0.0,1,777,115.95
95202,74.27,0.0,1,760,113.65
95474,87.93,0.0,1,756,126.91
95746,72.27,0.0,1,755,106.9
96018,69.55,0.0,1,767,126.19
96290,85.23,0.0,1,818,136.64
96562,96.38,0.0,1,831,97.015
96834,88.48,0.0,1,806,97.015
97106,92.65,0.0,1,736,97.015
97378,85.06,0.0,1,796,97.015
97650,81.29,0.0,1,699,139.96
97922,94.06,0.0,1,676,97.015
98194,98.86,0.0,1,735,97.015
98466,100.76,0.0,1,696,97.015
98738,97.01,0.0,1,643,97.015
99010,94.4,0.0,1,706,138.94
99282,96.32,0.0,1,690,97.015
99554,92.82,0.0,1,643,97.015
99826,88.58,0.0,1,662,97.015
100098,88.48,0.0,1,702,139.02
100370,86.98,99.42,1,666,133.8
100642,89.15,0.0,1,598,136.57
100914,88.85,0.0,1,640,97.015
101186,88.22,0.0,1,661,76.0
101458,88.5,0.0,1,624,73.16
101730,88.61,0.0,1,686,73.92
102002,89.2,0.0,1,680,73.06
102274,88.73,0.0,1,578,76.46
102546,91.85,0.0,1,635,77.96
102818,91.8,0.0,1,605,81.22
103090,95.45,0.0,1,615,81.5
103362,95.9,0.0,1,569,82.13
103634,96.0,0.0,1,499,83.57
103906,98.83,0.0,1,466,87.65
104178,97.51,0.0,1,467,85.53
104450,99.33,0.0,1,361,84.63
104722,99.83,0.0,1,362,90.43
104994,101.21,0.0,1,342,93.73
105266,96.17,0.0,1,284,92.52
105538,103.93,0.0,1,296,94.13
105810,104.89,0.0,1,261,95.07
106082,101.82,0.0,1,216,94.02
106354,100.6,0.0,1,190,91.9
106626,102.0,0.0,1,187,96.09
106898,98.18,0.0,1,160,95.21
107170,102.63,0.0,1,142,96.18
107442,102.89,0.0,1,129,94.06
107714,98.74,0.0,1,126,91.94
107986,107.1,0.0,1,116,95.39
108258,103.56,0.0,1,136,95.21
108530,100.03,0.0,1,159,93.44
108802,104.74,0.0,1,189,92.02
109074,101.58,0.0,1,235,91.43
109346,99.85,0.0,1,265,91.73
109618,98.36,105.06,1,365,89.55
109890,95.78,0.0,1,452,89.6
110162,93.82,0.0,1,640,89.26
110434,92.25,0.0,1,741,85.11
110706,89.45,0.0,1,879,86.49
110978,89.36,0.0,1,910,85.14
111250,85.8,0.0,1,918,86.51
111522,91.35,0.0,1,1013,84.67
111794,91.4,0.0,1,876,85.81
112066,92.52,0.0,1,761,97.015
112338,92.77,0.0,1,747,97.015
112610,93.82,0.0,1,759,97.015
112882,95.16,0.0,1,694,97.015
113154,94.24,0.0,1,695,97.015
113426,95.28,0.0,1,700,97.015
113698,96.0,0.0,1,722,97.015
113970,89.02,0.0,1,669,97.015
114242,89.12,0.0,1,686,137.61
114514,89.86,0.0,1,659,126.38
114786,88.99,0.0,1,715,121.02
115058,83.38,0.0,1,805,122.01
115330,82.33,0.0,1,768,115.67
115602,78.92,0.0,1,789,113.84
115874,75.15,0.0,1,489,91.63
116146,76.01,0.0,1,598,91.35
116418,74.8,0.0,1,830,134.4
116690,73.35,0.0,1,733,108.07
116962,63.84,0.0,1,785,112.09
117234,82.42,0.0,1,758,125.82
117506,87.13,0.0,1,605,123.84
117778,86.11,0.0,1,571,97.015
118050,86.46,0.0,1,708,139.92
118322,80.49,0.0,1,719,122.44
118594,91.32,0.0,1,699,107.49
118866,85.63,0.0,1,751,117.99
119138,86.47,0.0,1,613,106.87
119410,84.99,0.0,1,584,102.25
119682,84.07,0.0,1,761,106.64
119954,86.33,0.0,1,856,132.2
120226,88.73,0.0,1,817,123.26
120498,92.95,0.0,1,810,107.55
120770,90.55,0.0,1,672,122.45
121042,81.65,0.0,1,761,106.14
121314,82.01,0.0,1,871,138.06
121586,77.44,99.42,1,810,138.16
121858,62.85,0.0,1,776,119.99
122130,88.05,0.0,1,804,127.32
122402,90.47,0.0,1,800,97.015
122674,88.76,0.0,1,790,129.59
122946,82.12,0.0,1,797,116.64
123218,83.43,0.0,1,728,134.91
123490,32.17,0.0,1,517,107.44
123762,51.69,0.0,1,37,64.75
124034,50.65,0.0,1,29,61.84
124306,34.19,0.0,1,336,89.64
124578,24.59,0.0,1,608,98.77
124850,91.16,0.0,1,780,97.015
125122,96.68,0.0,1,721,97.015
125394,96.76,0.0,1,668,135.43
125666,94.14,0.0,1,700,97.015
125938,92.47,99.42,1,710,97.015
126210,76.25,0.0,1,682,97.015
126482,85.81,0.0,1,687,97.015
126754,85.41,0.0,1,687,97.015
127026,87.04,0.0,1,659,97.015
127298,86.09,0.0,1,694,72.09
127570,85.82,0.0,1,835,69.21
127842,85.76,0.0,1,840,78.93
128114,88.98,0.0,1,777,83.17
128386,91.35,0.0,1,671,83.25
128658,93.34,0.0,1,658,85.52
128930,91.23,0.0,1,648,85.41
129202,95.4,0.0,1,486,87.41
129474,98.25,0.0,1,476,88.15
129746,95.86,94.43,1,462,90.49
130018,97.76,0.0,1,389,88.33
130290,96.88,0.0,1,366,92.18
130562,99.23,0.0,0,340,91.9
130834,99.34,0.0,0,321,93.38
131106,98.0,0.0,0,281,94.11
131378,99.46,0.0,0,220,94.82
131650,98.09,0.0,0,192,95.11
