,이전VDS,이후VDS,holiday,교통량,평균속도
168,97.49,101.27,0,197,102.45
440,100.73,101.23,0,154,104.82
712,96.48,101.18,0,170,103.56
984,98.44,99.57,0,137,101.25
1256,96.76,99.58,0,135,99.8
1528,98.58,98.41,0,107,102.95
1800,95.35,96.95,0,123,95.74
2072,93.66,96.97,0,123,97.02
2344,96.34,95.44,0,115,95.65
2616,90.69,92.33,0,103,97.06
2888,94.08,92.73,0,105,96.07
3160,90.0,90.52,0,91,92.06
3432,91.02,92.88,0,111,95.2
3704,86.56,90.87,0,116,94.01
3976,90.91,93.92,0,113,95.59
4248,89.05,92.69,0,151,93.42
4520,87.47,91.68,0,166,94.53
4792,88.91,91.57,0,168,91.29
5064,87.33,89.68,0,187,89.35
5336,92.63,95.14,0,210,95.38
5608,89.73,94.41,0,313,95.4
5880,91.73,97.57,0,326,98.3
6152,100.7,102.98,0,365,104.75
6424,99.33,103.0,0,494,104.81
6696,99.57,102.7,0,612,103.95
6968,99.91,103.47,0,749,104.49
7240,97.8,100.91,0,847,101.99
7512,97.94,98.78,0,928,99.82
7784,100.39,99.67,0,984,100.94
8056,102.3,100.57,0,1014,102.33
8328,101.31,102.86,0,971,104.48
8600,102.01,100.54,0,1010,101.82
8872,102.09,101.46,0,983,102.99
9144,101.15,101.17,0,1010,102.97
9416,100.5,102.22,0,1037,103.81
9688,99.04,98.74,0,1044,100.11
9960,98.47,97.02,0,1084,98.71
10232,97.18,96.84,0,1076,98.46
10504,98.2,96.42,0,1156,97.76
10776,97.69,97.14,0,1049,98.39
11048,95.57,95.32,0,1146,97.16
11320,95.73,95.11,0,1214,96.78
11592,96.39,94.95,0,1236,96.63
11864,97.22,94.95,0,1207,96.69
12136,96.65,94.61,0,1221,96.19
12408,96.05,95.88,0,1193,97.83
12680,97.64,95.12,0,1147,97.45
12952,98.75,96.88,0,1093,98.84
13224,98.1,95.82,0,1127,98.39
13496,98.87,97.41,0,1067,99.55
13768,98.12,98.52,0,1016,100.66
14040,97.3,95.62,0,1120,96.82
14312,97.38,96.7,0,1056,98.41
14584,97.04,95.47,0,1073,96.22
14856,96.94,96.81,0,1092,98.67
15128,95.84,96.17,0,1196,98.0
15400,97.59,96.15,0,1106,97.76
15672,97.25,96.31,0,1138,98.07
15944,96.24,96.63,0,1124,98.13
16216,97.73,96.97,0,1105,98.46
16488,96.72,96.1,0,1183,97.21
16760,96.37,95.66,0,1236,96.77
17032,96.5,95.16,0,1204,97.1
17304,98.35,97.73,0,1154,99.63
17576,95.55,95.75,0,1170,96.5
17848,97.53,97.46,0,1206,99.08
18120,97.82,96.54,0,1186,97.62
18392,97.21,97.37,0,1202,99.4
18664,96.74,99.16,0,1182,100.73
18936,96.67,96.41,0,1312,98.11
19208,96.13,97.55,0,1294,98.8
19480,96.65,98.19,0,1295,99.53
19752,98.43,100.02,0,1270,102.66
20024,98.38,100.68,0,1260,103.05
20296,97.26,100.66,0,1249,102.82
20568,98.2,100.42,0,1094,102.75
20840,97.18,99.01,0,1076,101.88
21112,97.83,99.76,0,1025,102.19
21384,96.65,98.91,0,865,102.56
21656,97.35,101.3,0,696,105.04
21928,98.3,101.82,0,653,105.79
22200,98.77,103.88,0,591,108.32
22472,97.47,101.18,0,611,106.1
22744,98.95,104.47,0,609,108.8
23016,99.64,101.28,0,539,104.6
23288,98.7,101.84,0,569,104.77
23560,98.45,102.86,0,444,107.61
23832,100.55,102.44,0,453,105.96
24104,99.47,104.49,0,413,109.02
24376,99.82,103.7,0,368,108.42
24648,101.22,103.6,0,329,108.47
24920,101.44,105.14,0,343,107.52
25192,99.91,103.32,0,279,106.67
25464,102.04,105.56,0,285,108.71
25736,100.74,102.44,0,251,105.67
26008,101.93,102.94,0,204,106.82
26280,101.85,104.09,0,204,106.81
26552,103.91,104.29,0,200,106.57
26824,100.74,103.71,0,181,105.15
27096,103.09,103.01,0,159,105.6
27368,97.75,99.98,0,130,103.71
27640,95.31,100.69,0,129,101.74
27912,97.73,100.39,0,139,99.88
28184,96.58,98.59,0,116,97.27
28456,95.57,100.28,0,116,100.02
28728,92.97,99.59,0,120,104.05
29000,88.82,93.1,0,126,93.04
29272,92.63,93.13,0,126,93.63
29544,94.03,94.7,0,91,101.26
29816,91.9,93.65,0,126,96.87
30088,89.61,92.44,0,147,91.68
30360,90.87,92.19,0,140,94.31
30632,89.34,92.58,0,141,94.85
30904,88.4,92.78,0,167,92.37
31176,88.64,91.06,0,203,92.15
31448,94.03,94.45,0,247,98.29
31720,91.12,96.74,0,257,97.72
31992,93.73,97.54,0,337,99.37
